"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","Brand","Allow Purchase","Item Name","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"AW-H17-BLK","No Packing/Others","Nos",29.50,"Awei",1,"Awei H17 Black Smart Watch","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"AW-H17-PIK","No Packing/Others","Nos",29.50,"Awei",1,"Awei H17 Pink Smart Watch","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"AW-H17-SIL","No Packing/Others","Nos",29.50,"Awei",1,"Awei H17 Silver Smart Watch","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"AW-H17-WHI","No Packing/Others","Nos",29.50,"Awei",1,"Awei H17 White Smart Watch","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"AW-H22-BLK","No Packing/Others","Nos",39.50,"Awei",1,"Awei H22 Black Smart Watch","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"AW-H22-SIL","No Packing/Others","Nos",39.50,"Awei",1,"Awei H22 Silver Smart Watch","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"AW-H22-RED","No Packing/Others","Nos",39.50,"Awei",1,"Awei H22 Red Smart Watch","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"AW-H26-BLK","No Packing/Others","Nos",33.50,"Awei",1,"Awei H26 Black Smart Watch","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"AW-H26-BLU","No Packing/Others","Nos",33.50,"Awei",1,"Awei H26 Blu Smart Watch","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"AW-H26-SIL","No Packing/Others","Nos",33.50,"Awei",1,"Awei H26 Silver Smart Watch","ZeroMax Warehouse - ZX","ZEROMAX LLP"






