Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Standard Selling Rate,Allow Purchase,Allow Sales,Company (Item Defaults),Default Warehouse (Item Defaults)
Boat-Av1180-BLK,Sound Bar,Nos,Aavante 1180 ( Bar Only) Premium Black,1,boAt,89,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-Av1198-BLK,Sound Bar,Nos,Aavante 1198 - 90W (Unified Woofer) Premium Black,1,boAt,149,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-Av1200-BLK,Sound Bar,Nos,Aavante 1200 - 80W (Wired Woofer) Premium Black,1,boAt,185,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-Av1200N,Sound Bar,Nos,Aavante 1200N - 100W (Wired Woofer) Premium Black,1,boAt,199,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-Av503-BLK,Sound Bar,Nos,Aavante 503 - 10W Premium Black Mini,1,boAt,45,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-Av553-BLK,Sound Bar,Nos,Aavante 553 - 16W Pitch Black Mini,1,boAt,55,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-Av908-BLK,Sound Bar,Nos,Aavante 908 - 30W Premium Black Mini,1,boAt,75,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-AvRaga-BLK,Sound Bar,Nos,Aavante Raga - 100W (Unified Woofer) Premium Black,1,boAt,169,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-AUX500,Audio,Nos,Boat AUX500 1.5M 3.5mm Audio Cable,1,boAt,6.5,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD113-BLK,TWS,Nos,boAt Airdopes 113 Black,1,boAt,38,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD113-BLU,TWS,Nos,boAt Airdopes 113 Blue,1,boAt,38,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD113-WHI,TWS,Nos,boAt Airdopes 113 White,1,boAt,38,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD121P-BLK,TWS,Nos,boAt Airdopes 121 Pro Black,1,boAt,36,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD121P-BlU,TWS,Nos,boAt Airdopes 121 Pro Blue,1,boAt,36,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD121P-WHI,TWS,Nos,boAt Airdopes 121 Pro White,1,boAt,36,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD121v2-PIK,TWS,Nos,boAt Airdopes 121 v2 Pink,1,boAt,34,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD121v2-BLK,TWS,Nos,boAt Airdopes 121v2 Black,1,boAt,34,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD121v2-BLU,TWS,Nos,boAt Airdopes 121v2 Blue,1,boAt,34,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD138P-BLK,TWS,Nos,boAt Airdopes 138 Pro Black,1,boAt,36,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD138P-BLU,TWS,Nos,boAt Airdopes 138 Pro Blue,1,boAt,36,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD138P-CHR,TWS,Nos,boAt Airdopes 138 Pro Cherry Blossom,1,boAt,36,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD138P_GRN,TWS,Nos,boAt Airdopes 138 Pro Green,1,boAt,36,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD138P-WHI,TWS,Nos,boAt Airdopes 138 Pro White,1,boAt,36,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD141P-BLK,TWS,Nos,boAt Airdopes 141 Pro Black,1,boAt,39,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD141P_Blue,TWS,Nos,boAt Airdopes 141 Pro Blue,1,boAt,39,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
boAt-AD161-BLK,TWS,Nos,boAt Airdopes 161 Black,1,boAt,35,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
