"Item Code","Item Group","Default Unit of Measure","Item Name","Maintain Stock","Brand","Has Serial No","Allow Purchase","Allow Sales","Barcode"
"JBL-WBEAM-BLK","TWS","Nos","JBL WAVE BEAM TWS BLACK",1,"JBL",1,1,1,"050036390934"
"JBL-WBEAM-BGE","TWS","Nos","JBL WAVE BEAM TWS BEIGE",1,"JBL",1,1,1,"050036390958"
"JBL-WBEAM-MNT","TWS","Nos","JBL WAVE BEAM TWS MINT",1,"JBL",1,1,1,"050036390965"
"JBL-WBEAM-WHI","TWS","Nos","JBL WAVE BEAM TWS WHITE",1,"JBL",1,1,1,"050036390941"
"JBL-WBUDS-BLK","TWS","Nos","JBL WAVE BUDS TWS BLACK",1,"JBL",1,1,1,"050036391122"
"JBL-WBUDS-BLK","TWS","Nos","JBL WAVE BUDS TWS BLACK",1,"JBL",1,1,1,"050036391122"
"JBL-WBUDS-BGE","TWS","Nos","JBL WAVE BUDS TWS BEIGE",1,"JBL",1,1,1,"050036391146"
"JBL-WBUDS-MNT","TWS","Nos","JBL WAVE BUDS TWS MINT",1,"JBL",1,1,1,"050036391153"
"JBL-WBUDS-WHI","TWS","Nos","JBL WAVE BUDS TWS WHITE",1,"JBL",1,1,1,"050036391139"
"SDSQUAC-512G-GN6MN","Memory/Storage","Nos","Sandisk Ultra MicroSDXC,512GB A1 C10 10YW",1,"Sandisk",0,1,1,""
"SDSQUAC-1T00-GN6MN","Memory/Storage","Nos","Sandisk Ultra MicroSDXC,1TB A1 C10 10YW",1,"Sandisk",0,1,1,""
"SDCZ50-128G-B35","Memory/Storage","Nos","Sandisk Cruzer Blade 128GB USB2.0",1,"Sandisk",0,1,1,""




