"Item Code","Item Group","Default Unit of Measure","Allow Purchase","Standard Selling Rate","Barcode","Allow Sales","Item Name","Maintain Stock","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"NOVA-T9","Beard Trimmer","Nos",1,5,"",1,"NOVA BQ05 Vintage Trimmer",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"HUWEI-UK-USB-66W","Wall Charger/Adapter","Nos",1,15,"",1,"Huwei 66W USB UK Adapter",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"HUWEI-CB-6A","PD Cables","Nos",1,5,"",1,"Huwei 6A USB TYPE C Cable",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Honor-UK-USB-66W","Wall Charger/Adapter","Nos",1,15,"",1,"Honor 66W USB UK Adapter",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Honor-UK-USB-100W","Wall Charger/Adapter","Nos",1,18,"",1,"Honor 100W USB UK Adapter",1,"ZeroMax Warehouse - ZX","ZEROMAX LLP"







