"Item Code","Item Group","Default Unit of Measure","Allow Purchase","Standard Selling Rate","Valuation Rate","Barcode","Allow Sales","Item Name","Maintain Stock","Use Serial No","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"HOCO-EQ2","TWS","Nos",1,8,0,"",1,"Hoco EQ2 TWS",1,0,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"HOCO-EQ5","TWS","Nos",1,12,0,"",1,"Hoco EQ5 TWS",1,0,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"HOCO-j100","TWS","Nos",1,6,0,"",1,"Hoco J100 Ultra-Thin 10K Powerbank",1,0,"ZeroMax Warehouse - ZX","ZEROMAX LLP"
"HOCO-EW72","TWS","Nos",1,12,0,"",1,"Hoco EW72 LCD Color Touchscreen TWS",1,0,"ZeroMax Warehouse - ZX","ZEROMAX LLP"






