"Item Code","ID (Taxes)","Tax Category (Taxes)"
"TCL-SOCL500TWSOBL","c987b68cf6",""
"TCL-SOCL500TWSBL","b121e32a42",""
"TCL-SOCL500TWSOR","e12a2cb7cb",""
"TCL-SOCL500TWSBK","4822d992fb",""
"SDSQUAC-256G-GN6MN","8d20e3998d",""
"JBL-FLIP 6 WHT SPEAKER","c4fa9abe57",""
"JBL-FLIP 6 TEL SPEAKER","efe66896a3",""
"JBL-FLIP 6 RED SPEAKER","013cd9f455",""
"JBL-FLIP 6 PNK SPEAKER","3b0fa8d519",""
"JBL-FLIP 6 GRY SPEAKER","00b1220c9b",""
"JBL-FLIP 6 GRN  SPEAKER","f2a2b3d478",""
"JBL-FLIP 6 BLU SPEAKER","a4f8eba41f",""
"JBL-FLIP 6 BLK SPEAKER","352005b94a",""
"JBL-FLIP ESSENTIAL","fcb7dceb7c",""
"JBL-T115BT-COR","01447e1fa1",""
"JBL-T510BT-ROS","ccb1659a10",""
"JBL-T510BT-WHT","7d4eab0e1c",""
"JBL-T510BT-BLU","6553f3f70e",""
"SDSQUAB-0128G-GN6MN","626ff92bcf",""
"SDCZ73-512G-G46","1a4dd7796e",""
"JBL-T710BT-WHI","7dbdf71a93",""
"PAN-ER-GN30","a95b4c9b5c",""
"PAN-ER-430","6d985179de",""
"PAN-ER-2403","9afeaefbc2",""
"HK-ONYXS8-BLK","c9de851475",""
"JBL-BBOX3-BLK","2d18bbdfbd",""
"JBL-REFFLPRO-TWS-BLK","2c7cc0de50",""
"SDSQUAB-064G-GN6MN","7a502cae4a",""
"JBL-WIRELESS MIC -BLK","13682fe7b3",""
"JBL-TUNE 660NC -BLK","f460643bbe",""
"JBL-XTRM-BLU","1af4abda3d",""
"JBL-CHARGE5-BLU","b25d31c484",""
"JBL-CHARGE5-BLK","45e328f9cd",""
"JBL-T510BT-BLK","3e00b3b707",""
"JBL-XTRM3-GRY","e22586a26c",""
"JBL-FM2-WHITE","c3cf2be76e",""
"MB-MC128KA","8fdf31f8d0",""
"PH-HP-8316","d8cf015e1a",""
"SONY-MDR-EX40LP","6e507a892c",""
"SONY-MDR-E9LP","2be3d2a6b1",""
"SONY-MDR-XB450BVCE","08ba903edc",""
"SONY-MDR-XB450APB","06b4204b87",""
"SONY-MDR-EX15AP","04c838bb8a",""
"SONY-MDR-E11LP/WC","063bda52ad",""
"SONY-MDR-AS400EX","7f2df4aaf4",""
"SONY-MDR-EX100AA","20d3143418",""
"SONY-MDR-EX80LP","47bbcead83",""
"SONY-MDR-EX750APBME","341eb50038",""
"SONY-MDR-EX750AP","290b432e55",""
"SONY-MDR-EX250AP","46230cc357",""
"SONY-MDR-EX150AP","c863d7550b",""
"SONY-MDR-EX110LP","3c805db9f8",""
"SONY-MDR-EX110AP","ea55f1a533",""
"PAN-EH-KA11","52efe20dbc",""
"PH-BHC-010","115ea0511f",""
"PH-BHD-862","18407310fe",""
"PH-BHD-360","739811dafb",""
"PH-BHD-350","df02bfead0",""
"PH-BHD-340","ef8e48634f",""
"PH-BHD-308","269adb5587",""
"PH-BHD-300","f7d3eb55c2",""
"PH-BHC-015","4581631387",""
"PH-HP-8108","7e4ec81d18",""
"PH-BHS-675","e444c5d766",""
"PH-HP-8321","aa4121fa21",""
"SDSQUA4-1TB-GN6MN","6ca97c6788",""
"JBL-PBOX110-BLK","5e5b2b1dc5",""
"JBL-RF-AWARE","ab6cff8a4c",""
"PAN-ER-240","94c89e7346",""
"PAN-ER-206","ca310897b7",""
"PAN-ER-115-KP","4c2b07bcbf",""
"PH-BRT-383/60","ea4a8e1e0a",""
"PH-BRL-130/00","a3dcabbad6",""
"PH-BRE-225/00","5d69efe35d",""
"PH-NT3650/16","a97209a69b",""
"PH-NT1650/16","c6a8df5b72",""
"PH-MG-7735/15","c8a2ae3aca",""
"PH-MG-7720/15","1c34775ba0",""
"JBL-CLIP3","182e390ddb",""
"JB-T15SE-BLK","8e53f6a6a2",""
"JBL-WAVE 200 TWS-PUR","365ac20e47",""
"LMEX1L256GG4","630fbe8959",""
"LMEX1L128GG4","63f129dca6",""
"LMEX1L064GG4","1ba412f9b1",""
"LMEX1L032GG4","808789c2eb",""
"LU301W128GG4","c9b0801709",""
"LU301W064GG4","adf43203de",""
"LU301W032GG4","7f67e11c57",""
"LU301W016GG4","13151720f4",""
"LU202W064GG4","cc3f34e42c",""
"LU202W032GG4","5952b7d38b",""
"LU202W016GG4","500a023ba6",""
"LMEX1L016GG2","0c92335361",""
"SDDDC3-512G-G46","456317b360",""
"BHR4272GL-ORI","bdd19ce7c5",""
"SAM-HF-EO-IA500","b05a79124e",""
"GM-VIVOFIT-JR2","a537c4f2e1",""
"JBL-WAVE 200 TWS-WHT","e9b6f9675a",""
"JBL-WAVE 200 TWS-BLK","23b1ad1cbd",""
"JBL-WAVE 200 TWS-BLU","fa15b9d205",""
"MMTN2FE/A","de59b6703d",""
"MHJF3ZP/A","b1e28a1b62",""
"‎EO-EG920BWEGWW","453c410dc6",""
"EE-UC10JUWEGWW","9cfc8868c8",""
"EE-GN930BWEGWW","84578a71df",""
"EE-I3100FBEGWW","79cd7abc67",""
"EP-DN975BBEGWW","1ed23bdb1d",""
"EP-DG930DWEGWW","242cdc8179",""
"EP-MN930GWEGWW","84d30dc2d7",""
"EJ-PN970BBEGWW","f6b0184a50",""
"EP-L1100NBEGWW","139e86f700",""
"EP-L5300XBEGWW","16fa39c9f1",""
"EO-IC100BBEGWW","a019b1f20c",""
"EP-TA845XWEGGB","f96eb10e45",""
"EP-TA845XBEGGB","f4864c61e2",""
"EP-TA20UBECGGB","27681f7139",""
"EP-TA20UWECGGB","d4aaef6fd6",""
"EP-TA20UBEUGGB","6c22642c4d",""
"EP-TA20UWEUGGB","3d0183df76",""
"EP-TA220NBEGGB","6f811130ac",""
"EP-TA800XBEGGB","1fe21feceb",""
"EP-TA800XWEGGB","1e55227746",""
"EB-U1200CPEGWW","7252365b26",""
"SDSDUNB-016G-GN3IN","ac3674e4bc",""
"JBL-JRPOP-RED","ec9a0b81ba",""
"JBL-WIND3S-BLK","5f2f7ff368",""
"JBL-JRPOP-PUR","fe0a45daf3",""
"JBL-JRPOP-BLU","fca9b84ec1",""
"HK-ONYXS6-BLK","547d9077df",""
"SDSDB-016G-B35","9337c0f006",""
"SDSDB-008G-B35","9627bc72e4",""
"JBL-T110-BLU","9740ec7369",""
"JBL-T110-BLK","12cb0df02a",""
"SG-2TB-Rd","1e86c17d21",""
"SG-2TB-Blu","6530b6ed2e",""
"SG-5TB-SIL","b88dcbc14e",""
"SG-5TB-BLK","b89317355a",""
"SG-4TB-SIL","58184c9a16",""
"SG-4TB-BLK","980a6aa415",""
"SG-2TB-SIL","12b3fa1799",""
"SG-2TB-BLK","73696f5216",""
"SG-1TB-SIL","2847ee57cf",""
"SG-1TB-BLK","3551806c5e",""
"DEN-DP-450USB-BLK","d39c32138b",""
"JBL-BAR51-BLK","2b18be8bea",""
"JBL-PULSE4-WHI","b8feb19ba1",""
"DEN-DL-103R-BLK","14968f3d49",""
"DEN-DP-400F-BLK","36dac99baa",""
"DEN-DP-300F-BLK","33d21b71e4",""
"DEN-DP-29F-BLK","6e1f38b4c0",""
"DEN-DHT-S316-BLK","d222d42a7f",""
"DEN-DHT-S216-BLK","f7807c9315",""
"DEN-DCD-2500NE-SIL","e657770062",""
"DEN-DCD-1600NE-BLK","eaa40da91f",""
"DEN-DCD-800NE-BLK","979e32f87e",""
"DEN-DCD-600NE-BLK","e1410f7d53",""
"DEN-D-T1-BLK","9bc9e3de6c",""
"DEN-M41-SIL","35e87caf96",""
"DEN-M41-BLK","9e034887e7",""
"DEN-CEO-N11-WHI","3b563dccaf",""
"DEN-CEO-N11-BLK","b63837e5d8",""
"DEN-AVC-A110-BLK","287a976df6",""
"DEN-AVC-X8500H-BLK","c790a3f168",""
"DEN-AVC-X6700H-BLK","9ada09b924",""
"DEN-AVC-X4700H-BLK","e744260190",""
"DEN-AVC-X3700H-BLK","b6868dd723",""
"DEN-AVR-X2700H-BLK","4cc202f36a",""
"DEN-AVR-X1600H-BLK","9bb0ddda6c",""
"DEN-AVR-X550BT-BLK","9d298f6de1",""
"DEN-AVR-X250BT-BLK","6294675542",""
"DEN-PMAA110-BLK","5003968e62",""
