Item Code,Has Serial No
JBL-LIVE460NC-WHI,1
JBL-LIVE460NC-BLU,1
JBL-LIVE460NC-BLK,1
JBL-T770NC-WHI,1
JBL-T770NC-PUR,1
JBL-T770NC-BLU,1
JBL-XTREME4-BLU,1
JBL-XTREME4-BLK,1
JBL-SENSE-WHI,1
JBL-SENSE-BLK,1
JBL-PULSE5-BLK,1
JBL-CHARGE5-SQD,1
JBL-CHARGE5-PNK,1
JBL-CHARGE5-RED,1
JBL-CHARGE5-GRN,1
JBL-CHARGE5-GRY,1
JBL-ENDRUN2-WHI,1
JBL-ENDRUN2-BLU,1
JBL-ENDRUN2-BLK,1
JBL-AUTH300-BLK,1
JBL-AUTH200-BLK,1
JBL-T670NC-WHI,1
JBL-T670NC-PUR,1
JBL-T670NC-BLU,1
JBL-T670NC-BLK,1
JBL-T310C-RED,1
JBLT310CWHT,1
JBLT310CBLU,1
JBLT310CBLK,1
JBL-T710BT-WHI,1
JBL-FM2-WHITE,1
JBL-PBOX110-BLK,1
JBL-RF-AWARE,1
JBL-CLIP3,1
JBL/T110BLK/EX,1
JBL/T180ABLKCN,1
JBL-JRPOP-RED,1
JBL-JRPOP-PUR,1
JBL-JRPOP-BLU,1
