"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","Brand","Allow Purchase","Item Name","Default Warehouse (Item Defaults)","Default Company (Item Defaults)"
"RL-H14","Wired Earphone - 3.5mm","Nos",5.0,"Realme",1,"Realme T-014 earphone","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"SONY-STH32","Wired Earphone - 3.5mm","Nos",5.0,"Sony",1,"Sony STH32 earphone","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-TC-3in1","USB Cables (3-in-1)","Nos",6.0,"No Brand",1,"Zeromax Type C to 3in1 Data Cable 1.5m","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"RM-512a","Wired Earphone - Type C","Nos",6.0,"Remax",1,"Remax RM-512a Type C Headset","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"RM-512i","Wired Earphone - Lightning","Nos",6.0,"Remax",1,"Remax RM-512i Lightning Headset","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-YD101","Wireless Headset","Nos",6.0,"Mark",1,"Mark YD101 Wireless Neckband","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-YD102","Wireless Headset","Nos",7.0,"Mark",1,"Mark YD102 Wireless Neckband","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-YD103","Wireless Headset","Nos",9.0,"Mark",1,"Mark YD103 Wireless Neckband","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-YD104","Wireless Headset","Nos",12.0,"Mark",1,"Mark YD104 Wireless Neckband","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-XK101","Wired Earphone - 3.5mm","Nos",1.80,"Mark",1,"Mark XK101 Headset","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-XK102","Wired Earphone - 3.5mm","Nos",1.80,"Mark",1,"Mark XK102 Headset","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-XK103","Wired Earphone - 3.5mm","Nos",2.50,"Mark",1,"Mark XK103 Headset","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-XK104","Wired Earphone - 3.5mm","Nos",2.50,"Mark",1,"Mark XK103 Headset","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-XK105","Wired Earphone - 3.5mm","Nos",3.00,"Mark",1,"Mark XK105 Headset","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-XK106","Wired Earphone - 3.5mm","Nos",3.00,"Mark",1,"Mark XK106 Headset","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-XK107","Wired Earphone - 3.5mm","Nos",3.50,"Mark",1,"Mark XK107 Headset","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-XK108","Wired Earphone - 3.5mm","Nos",3.50,"Mark",1,"Mark XK108 Headset","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-X60","Sound Bar","Nos",10,"Mark",1,"Mark X60 Bluetooth Bar","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-MS02","Headphone","Nos",8,"Mark",1,"Mark MS02 Bluetooth Headphone","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-MS03","Speaker","Nos",8,"Mark",1,"Mark MS03 Bluetooth Speaker","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-CZ103","Car Charger","Nos",5,"Mark",1,"Mark CZ103 Car Charger","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"MK-CZ104","Car Charger","Nos",6,"Mark",1,"Mark CZ104 Car Charger","ZeroMax Warehouse - ZX","ZEROMAX LLP"

