"Item Code","Item Group","Default Unit of Measure","Item Name","Maintain Stock","Brand","Has Serial No","Allow Purchase","Allow Sales","Barcode","Company (Item Defaults)","Default Warehouse (Item Defaults)","Standard Selling Rate"
"JBLW100TWSBLK","TWS","Nos","JBL WAVE100TWS BLACK 1YW",1,"JBL",1,1,1,"","ZEROSOFT SOLUTIONS PTE LTD","Zerosoft Warehouse - ZSPL",59
"JBLW100TWSBLU","TWS","Nos","JBL WAVE100TWS BLUE 1YW",1,"JBL",1,1,1,"","ZEROSOFT SOLUTIONS PTE LTD","Zerosoft Warehouse - ZSPL",59
"JBLW100TWSIVY","TWS","Nos","JBL WAVE100TWS IVORY 1YW",1,"JBL",1,1,1,"","ZEROSOFT SOLUTIONS PTE LTD","Zerosoft Warehouse - ZSPL",59
"JBLW100TWSPRP","TWS","Nos","JBL WAVE100TWS PURPLE 1YW",1,"JBL",1,1,1,"","ZEROSOFT SOLUTIONS PTE LTD","Zerosoft Warehouse - ZSPL",59






