Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
PZX-V07,Power Banks,Nos,6.5,PZX,1,PZX V07 Powerbank 10k mAH,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-C133,Power Banks,Nos,5,PZX,1,PZX C133 Powerbank 10k mAH,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-C145,Power Banks,Nos,7,PZX,1,PZX C145 Powerbank 10k mAH,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-C163,Power Banks,Nos,10,PZX,1,PZX C163 Powerbank 18k mAH,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-C165,Power Banks,Nos,14,PZX,1,PZX C165 Powerbank 27k mAH,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-C166,Power Banks,Nos,18,PZX,1,PZX C163 Powerbank 45k mAH,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-V51,Power Banks,Nos,16,PZX,1,PZX V51 PD22.5W 10K mAH,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-Z010,Power Banks,Nos,3.5,PZX,1,PZX Z010 Metal Foldable Desktop Phone Holder,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-Z011,Power Banks,Nos,1.5,PZX,1,PZX Z011 ABS Foldable Desktop Phone Holder,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-CYM-C7,Power Banks,Nos,5,PZX,1,PZX CYM-C7 Car Mount Long Neck,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-S07-V8,USB Cables - Micro,Nos,3,PZX,1,PZX S07 Micro Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-S08-IP7,USB Cables - Lightning,Nos,3,PZX,1,PZX S08 Lightning Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-S09-TC,USB Cables - Type C,Nos,3,PZX,1,PZX S09 Type C Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-V193C,PD Cables,Nos,6,PZX,1,PZX V193C C TO C Cable 100W,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-V193P,PD Cables,Nos,6,PZX,1,PZX V193P C TO Lightning Cable 27W,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-V200C,PD Cables,Nos,5,PZX,1,PZX V200C C TO C CABLE 60W,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-V200P,PD Cables,Nos,5,PZX,1,PZX V200P C TO Lightning Cable 27W,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-V138,PD Cables,Nos,3,PZX,1,PZX V138 3-IN-1 Data Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-E207PDCC,Wall Charger/Adapter,Nos,10,PZX,1,PZX E207 PD 20W USB-C Adapter+Type C Cable Set,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-E207PDCL,Wall Charger/Adapter,Nos,10,PZX,1,PZX 207 PD 20W USB-C Adapter+Lightning Cable set,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-KTS-1057,Wall Charger/Adapter,Nos,4,No Brand,1,ZEROMAX KTS-1057 3inch Wireless Portable Speaker,ZeroMax Warehouse - ZX,ZEROMAX LLP
TWS-P3,TWS,Nos,5,No Brand,1,ZEROMAX TWS P3,ZeroMax Warehouse - ZX,ZEROMAX LLP
TWS-P4,TWS,Nos,5,No Brand,1,ZEROMAX TWS P4,ZeroMax Warehouse - ZX,ZEROMAX LLP
TWS-PRO6,TWS,Nos,5,No Brand,1,ZEROMAX TWS PRO6,ZeroMax Warehouse - ZX,ZEROMAX LLP
TWS-F95,TWS,Nos,5,No Brand,1,ZEROMAX TWS F95,ZeroMax Warehouse - ZX,ZEROMAX LLP
