Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults),Barcode
880104070056,Plotter,Nos,750,Rockspace,1,Rockspace ZC3 Smart plotter(British Standard/English) ,ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402764944
880104070031,Plotter,Nos,700,Rockspace,1,Rockspace ZC1 Max Smart Protective Film Plotter (American Standard/English),ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402739935
810507000136,Phone Front Film,Nos,52,Rockspace,1,"Rockspace Front Film ?Size:S) Flexible HD 1S Self-healing Film 180MX-01Y,Size:S Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402773137 
810507000148,Phone Front Film,Nos,66,Rockspace,1,"Rockspace Front Film UV Privacy Glass-like Film (1*10pcs) English Version (half-cut) 180FKHZ-01Y (Size:S),Size:S Pack Qty:10pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402774400 
810507000137,Phone Front Film,Nos,42,Rockspace,1,"Rockspace Front Film (Size: S) UV High Definition Glass-like Film (Half-cut) 180GJZ-01G,Size:S Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402717377 
810507000139,Phone Front Film,Nos,48,Rockspace,1,"Rockspace Front Film (Size: S) UV Matte Glass-like Film (Half-cut) 180MJZ-01G,Size:S Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402717391 
810507000134,Phone Front Film,Nos,52,Rockspace,1,"Rockspace Front Film (Size:S)UV Cured high-definition film 180GB-01Y (Standard Version),Size:S Pack Qty:20pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402772598 
880107940001,Phone Front Film,Nos,42,Rockspace,1,"Rockspace Front Film Smart Vacuum UV Curing Machine,Size: Pack Qty:1pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402717360 
810507000018,Phone Front Film,Nos,50,Rockspace,1,"Rockspace Front Film High Definition Flexible Film  (Basic version )180-01J ,Size:S Pack Qty:50pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402737214
810507000076,Phone Front Film,Nos,48,Rockspace,1,"Rockspace Front Film  Flexible Explosion-proof Film (Regular Version) 180CG-01Y,Size:S Pack Qty:50pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402762452 
810507000050,Phone Front Film,Nos,82,Rockspace,1,"Rockspace Front Film High Definition Flexible Explosion-proof Film (Standard Version)180BZ-01J,Size:S Pack Qty:50pcs",ZeroMax Warehouse - ZX,ZEROMAX LLP,6941402758271 
