Item Code,Buying,Selling
SDSDQM-032G-B35,$4.50,$5.00
SDSQQNR-032G-GN6IA,$8.60,$9.50
SDSQQNR-064G-GN6IA,$8.90,$9.80
SDSQQNR-128G-GN6IA,$15.50,$17.10
SDSQQNR-256G-GN6IA,$28.80,$31.70
SDSQQNR-512G-GN6IA,$57.60,$63.40
SDSQQVR-064G-GN6IA,$17.50,$19.30
SDSQQVR-128G-GN6IA,$28.50,$31.40
SDSQQVR-256G-GN6IA,$53.00,$58.30
SDSQUNR-032G-GN3MN,$4.80,$5.30
SDSQUNR-064G-GN3MN,$6.10,$6.70
SDSQUNR-128G-GN3MN,$11.20,$12.30
SDSQUNR-256G-GN3MN,$19.60,$21.60
SDSQUNR-512G-GN3MN,$39.10,$43.00
SDSQUA4-400G-GN6MN,$42.60,$46.90
SDSQUA4-032G-GN6MN,$5.60,$6.20
SDSQUAB-064G-GN6MN,$6.80,$7.50
SDSQUAB-128G-GN6MN,$12.30,$13.50
SDSQUAC-256G-GN6MN,$22.70,$25.00
SDSQUAC-512G-GN6MN,$45.10,$49.60
SDSQUAC-1T00-GN6MN,$112.50,$123.80
SDSQXAF-032G-GN6MN,$8.20,$9.00
SDSQXA1-400G-GN6MN,$65.70,$72.30
SDSQXA1-1T00-GN6MN,$215.70,$237.30
SDSQXAH-064G-GN6MN,$8.50,$9.40
SDSQXAA-128G-GN6MN,$15.50,$17.10
SDSQXAV-256G-GN6MN,$27.60,$30.40
SDSQXAV-512G-GN6MN,$55.00,$60.50
SDSQXAV-1T00-GN6MN,$125.70,$138.30
SDSQXAH-064G-GN6GN,$8.50,$9.40
SDSQXAA-128G-GN6GN,$15.50,$17.10
SDSQXAV-256G-GN6GN,$27.60,$30.40
SDSQXAH-064G-GN6AA,$15.70,$17.30
SDSQXAA-128G-GN6AA,$29.10,$32.00
SDSQXA1-128G-GN6AA,$26.40,$29.00
SDSQXAO-064G-GN3ZN,$10.10,$11.10
SDSQXAO-128G-GN3ZN,$18.70,$20.60
SDSQXAO-256G-GN3ZN,$34.20,$37.60
SDSQXAO-512G-GN3ZN,$68.20,$75.00
SDSQXAO-128G-GN3ZY,$19.70,$21.70
SDSQXCG-032G-GN6MA,$11.50,$12.70
SDSQXCU-064G-GN6MA,$11.80,$13.00
SDSQXCD-128G-GN6MA,$20.90,$23.00
SDSQXCD-256G-GN6MA,$36.70,$40.40
SDSQXCD-512G-GN6MA,$72.40,$79.60
SDSQXCD-1T00-GN6MA,$164.20,$180.60
SDSDUNR-032G-GN3IN,$5.60,$6.20
SDSDUNR-064G-GN3IN,$7.80,$8.60
SDSDUNR-128G-GN3IN,$13.80,$15.20
SDSDUNR-256G-GN3IN,$26.10,$28.70
SDSDXV5-256G-GNCIN,$42.10,$46.30
SDSDXVT-032G-GNCIN,$8.50,$9.40
SDSDXV2-064G-GNCIN,$11.10,$12.20
SDSDXVA-128G-GNCIN,$20.20,$22.20
SDSDXVV-256G-GNCIN,$40.30,$44.30
SDSDXXY-512G-GN4IN,$156.00,$171.60
SDSDXXO-032G-GN4IN,$11.80,$13.00
SDSDXXU-064G-GN4IN,$15.60,$17.20
SDSDXXD-128G-GN4IN,$28.30,$31.10
SDSDXXD-256G-GN4IN,$56.20,$61.80
SDSDXXD-512G-GN4IN,$112.10,$123.30
SDSDXXD-1T00-GN4IN,$258.40,$284.20
SDSDXDK-032G-GN4IN,$53.80,$59.20
SDSDXDK-064G-GN4IN,$105.90,$116.50
SDSDXDK-128G-GN4IN,$192.50,$211.80
SDSDXDK-256G-GN4IN,$351.80,$387.00
SDSDXDK-512G-GN4IN,$783.80,$862.20
SDCFXPS-032G-X46,$50.10,$55.10
SDCFXPS-064G-X46,$75.40,$82.90
SDCFXPS-128G-X46,$122.40,$134.60
SDCFXPS-256G-X46,$215.60,$237.20
SDCFXSB-032G-G46,$38.10,$41.90
SDCFXSB-064G-G46,$53.40,$58.70
SDCFXSB-128G-G46,$78.30,$86.10
SDCFE-064G-GN4NN,$113.30,$124.60
SDCFE-128G-GN4NN,$166.50,$183.20
SDCFE-256G-GN4NN,$291.20,$320.30
SDCFE-512G-GN4NN,$458.50,$504.40
SDCZ50-008G-B35,$4.00,$4.40
SDCZ50-016G-B35,$4.20,$4.60
SDCZ50-032G-B35,$4.30,$4.70
SDCZ50-064G-B35,$5.60,$6.20
SDCZ50-128G-B35,$10.20,$11.20
SDCZ50C-016G-B35BE,$4.20,$4.60
SDCZ50C-016G-B35GE,$4.20,$4.60
SDCZ50C-016G-B35PE,$4.20,$4.60
SDCZ50C-016G-B35W,$4.20,$4.60
SDCZ60-032G-B35,$4.60,$5.10
SDCZ60-064G-B35,$5.80,$6.40
SDCZ60-128G-B35,$10.50,$11.60
SDCZ600-016G-G35,$4.70,$5.20
SDCZ600-032G-G35,$5.00,$5.50
SDCZ600-064G-G35,$6.20,$6.80
SDCZ600-128G-G35,$10.90,$12.00
SDCZ600-256G-G35,$21.50,$23.70
SDCZ430-016G-G46,$6.00,$6.60
SDCZ430-032G-G46,$6.20,$6.80
SDCZ430-064G-G46,$7.40,$8.10
SDCZ430-128G-G46,$12.00,$13.20
SDCZ430-256G-G46,$23.70,$26.10
SDCZ430-512G-G46,$47.20,$51.90
SDCZ48-016G-U46,$5.00,$5.50
SDCZ48-032G-U46,$5.20,$5.70
SDCZ48-064G-U46,$6.50,$7.20
SDCZ48-128G-U46,$11.40,$12.50
SDCZ48-256G-U46,$22.60,$24.90
SDCZ48-512G-G46,$45.00,$49.50
SDCZ73-016G-G46,$5.40,$5.90
SDCZ73-032G-G46,$5.60,$6.20
SDCZ73-064G-G46,$6.80,$7.50
SDCZ73-128G-G46,$12.00,$13.20
SDCZ73-256G-G46,$23.70,$26.10
