Item Code,Selling
SDSDQM-032G-B35,$5.00
SDSQQNR-032G-GN6IA,$9.50
SDSQQNR-064G-GN6IA,$9.80
SDSQQNR-128G-GN6IA,$17.10
SDSQQNR-256G-GN6IA,$31.70
SDSQQNR-512G-GN6IA,$63.40
SDSQQVR-064G-GN6IA,$19.30
SDSQQVR-128G-GN6IA,$31.40
SDSQQVR-256G-GN6IA,$58.30
SDSQUNR-032G-GN3MN,$5.30
SDSQUNR-064G-GN3MN,$6.70
SDSQUNR-128G-GN3MN,$12.30
SDSQUNR-256G-GN3MN,$21.60
SDSQUNR-512G-GN3MN,$43.00
SDSQUA4-400G-GN6MN,$46.90
SDSQUA4-032G-GN6MN,$6.20
SDSQUAB-064G-GN6MN,$7.50
SDSQUAB-128G-GN6MN,$13.50
SDSQUAC-256G-GN6MN,$25.00
SDSQUAC-512G-GN6MN,$49.60
SDSQUAC-1T00-GN6MN,$123.80
SDSQXAF-032G-GN6MN,$9.00
SDSQXA1-400G-GN6MN,$72.30
SDSQXA1-1T00-GN6MN,$237.30
SDSQXAH-064G-GN6MN,$9.40
SDSQXAA-128G-GN6MN,$17.10
SDSQXAV-256G-GN6MN,$30.40
SDSQXAV-512G-GN6MN,$60.50
SDSQXAV-1T00-GN6MN,$138.30
SDSQXAH-064G-GN6GN,$9.40
SDSQXAA-128G-GN6GN,$17.10
SDSQXAV-256G-GN6GN,$30.40
SDSQXAH-064G-GN6AA,$17.30
SDSQXAA-128G-GN6AA,$32.00
SDSQXA1-128G-GN6AA,$29.00
SDSQXAO-064G-GN3ZN,$11.10
SDSQXAO-128G-GN3ZN,$20.60
SDSQXAO-256G-GN3ZN,$37.60
SDSQXAO-512G-GN3ZN,$75.00
SDSQXAO-128G-GN3ZY,$21.70
SDSQXCG-032G-GN6MA,$12.70
SDSQXCU-064G-GN6MA,$13.00
SDSQXCD-128G-GN6MA,$23.00
SDSQXCD-256G-GN6MA,$40.40
SDSQXCD-512G-GN6MA,$79.60
SDSQXCD-1T00-GN6MA,$180.60
SDSDUNR-032G-GN3IN,$6.20
SDSDUNR-064G-GN3IN,$8.60
SDSDUNR-128G-GN3IN,$15.20
SDSDUNR-256G-GN3IN,$28.70
SDSDXV5-256G-GNCIN,$46.30
SDSDXVT-032G-GNCIN,$9.40
SDSDXV2-064G-GNCIN,$12.20
SDSDXVA-128G-GNCIN,$22.20
SDSDXVV-256G-GNCIN,$44.30
SDSDXXY-512G-GN4IN,$171.60
SDSDXXO-032G-GN4IN,$13.00
SDSDXXU-064G-GN4IN,$17.20
SDSDXXD-128G-GN4IN,$31.10
SDSDXXD-256G-GN4IN,$61.80
SDSDXXD-512G-GN4IN,$123.30
SDSDXXD-1T00-GN4IN,$284.20
SDSDXDK-032G-GN4IN,$59.20
SDSDXDK-064G-GN4IN,$116.50
SDSDXDK-128G-GN4IN,$211.80
SDSDXDK-256G-GN4IN,$387.00
SDSDXDK-512G-GN4IN,$862.20
SDCFXPS-032G-X46,$55.10
SDCFXPS-064G-X46,$82.90
SDCFXPS-128G-X46,$134.60
SDCFXPS-256G-X46,$237.20
SDCFXSB-032G-G46,$41.90
