Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
VINTAGE-T9,Beard Trimmer,Nos,4,No Brand,1,Vintage Trimmer T9,ZeroMax Warehouse - ZX,ZEROMAX LLP
MANZU-S003,Socks,Nos,1,Manzupai,1,Manzupai S003 Men Short Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S020,Socks,Nos,1,Manzupai,1,Manzupai S020 Men Short Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S026,Socks,Nos,1,Manzupai,1,Manzupai S026 Men Short Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S029,Socks,Nos,1,Manzupai,1,Manzupai S029 Men Short Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S030,Socks,Nos,1,Manzupai,1,Manzupai S030 Men Short Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S045,Socks,Nos,1,Manzupai,1,Manzupai S045 Women Short Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S105,Socks,Nos,1.2,Manzupai,1,Manzupai S105 Men Long Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S114,Socks,Nos,1.2,Manzupai,1,Manzupai S114 Men Long Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S115,Socks,Nos,1.2,Manzupai,1,Manzupai S115 Men Long Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S116,Socks,Nos,1.2,Manzupai,1,Manzupai S116 Men Long Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S123,Socks,Nos,1.2,Manzupai,1,Manzupai S123 Men Long Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S125,Socks,Nos,1.2,Manzupai,1,Manzupai S125 Men Long Socks,Stores - ZIX,ZEROMAX IMPEX
MANZU-S127,Socks,Nos,1.2,Manzupai,1,Manzupai S127 Women Long Socks,Stores - ZIX,ZEROMAX IMPEX
