Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
ZX-D80PD-CTOC,PD Cables,Nos,6,ZEROMAX,1,Zeromax D80PD C TO C 100W Data Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-D80PD-CTOL,PD Cables,Nos,6,ZEROMAX,1,Zeromax D80PD C TO Lightning 27W Data Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-D80-TC,Charging Cable,Nos,3.5,ZEROMAX,1,Zeromax D80 USB TO TYPE C Fast Data Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-D80-V8,Charging Cable,Nos,3.5,ZEROMAX,1,Zeromax D80 USB TO MICRO Fast Data Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-D80-IP7,Charging Cable,Nos,3.5,ZEROMAX,1,Zeromax D80 USB TO LIGHTNING Fast Data Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-K2-V8,Charging Cable,Nos,1.5,ZEROMAX,1,Zeromax K2 USB TO MICRO BULK Data Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-K2-TC,Charging Cable,Nos,1.5,ZEROMAX,1,Zeromax K2 USB TO TYPE C BULK Data Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZX-K2-IP7,Charging Cable,Nos,1.5,ZEROMAX,1,Zeromax K2 USB TO LIGHTNING BULK Data Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
COLMI-P18Plus,Smart Watch,Nos,12,Colmi,1,Colmi P18Plus Smart Watch (No BTCall),ZeroMax Warehouse - ZX,ZEROMAX LLP
COLMI-P15,Smart Watch,Nos,12,Colmi,1,Colmi P15 Smart Watch (No BTCall),ZeroMax Warehouse - ZX,ZEROMAX LLP
COLMI-P8Mix,Smart Watch,Nos,12,Colmi,1,Colmi P8Mix Smart Watch (No BTCall),ZeroMax Warehouse - ZX,ZEROMAX LLP
COLMI-Sky5,Smart Watch,Nos,12,Colmi,1,Colmi Sky5 Smart Watch (No BTCall),ZeroMax Warehouse - ZX,ZEROMAX LLP
