Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
"ZX-TWS-M10","TWS","Nos",5,"No Brand",1,"ZEROMAX TWS M10","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Boat-AD-381-BLK","TWS","Nos",25,"boAt",1,"Boat Airdopes 381 Black","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Wings-TWS-385","TWS","Nos",19,"Wings",1,"Wings Flobuds 325","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"JBL-T110HK-RED","Wired Earphone","Nos",8,"JBL",1,"JBL TUNE 110 RED (EX)","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"JBL-T110HK-BLU","Wired Earphone","Nos",8,"JBL",1,"JBL TUNE 110 BLUE (EX)","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"JBL-T110HK-WHI","Wired Earphone","Nos",8,"JBL",1,"JBL TUNE 110 WHITE (EX)","ZeroMax Warehouse - ZX","ZEROMAX LLP"






