Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Has Serial No,Allow Purchase,Allow Sales,Barcode,Company (Item Defaults),Default Warehouse (Item Defaults),Standard Selling Rate
MAR-MINOR3-BLK,TWS,Nos,MARSHALL MINOR III BLACK TWS,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,158
MAR-STOCKWELL2-BLKBRA,Speaker,Nos,MARSHA STOCKWELL II SPEAKER,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,317
MAR-Woburn2 -BLK,Speaker,Nos,Marshall Woburn 2  Black,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,779
MAR-Woburn2 -BRN,Speaker,Nos,Marshall Woburn 2  Brown,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,779
MAR-Woburn2 -WHI,Speaker,Nos,Marshall Woburn 2  White,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,779
MAR-Stanmore2-BLK,Speaker,Nos,Marshall Stanmore 2 Black,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,255
MAR-Stanmore2-BRN,Speaker,Nos,Marshall Stanmore 2 Brown,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,255
MAR-Stanmore2-WHI,Speaker,Nos,Marshall Stanmore 2 White,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,255
MAR-Kilburn2-BLK,Speaker,Nos,Marshall Kilburn 2 Black,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,389
MAR-Kilburn2-WHI,Speaker,Nos,Marshall Kilburn 2 White,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,389
MAR-Tufton-BLK,Speaker,Nos,Marshall Tufton Black,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,475
MAR-Tufton-WHI,Speaker,Nos,Marshall Tufton White,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,475
MAR-Woburn3-BLK,Speaker,Nos,Marshall Woburn 3 Black,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,789
MAR-Woburn3-WHI,Speaker,Nos,Marshall Woburn 3 White,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,789
MAR-Acton3-BLK,Speaker,Nos,Marshall Acton 3 Black,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,404
MAR-Acton3-BRN,Speaker,Nos,Marshall Acton 3 Brown,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,404
MAR-Acton3-WHI,Speaker,Nos,Marshall Acton 3 White,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,404
MAR-Middleton-BLK,Speaker,Nos,Marshall Middleton Black,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,404
MAR-Middleton-WHI,Speaker,Nos,Marshall Middleton White,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,404
MAR-Stanmore3-BLK,Speaker,Nos,Marshall Stanmore 3 Black,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,535
MAR-Stanmore3-BRN,Speaker,Nos,Marshall Stanmore 3 Brown,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,535
MAR-Stanmore3-WHI,Speaker,Nos,Marshall Stanmore 3 White,1,Marshall,1,1,1,,ZEROSOFT SOLUTIONS PTE LTD,Zerosoft Warehouse - ZSPL,535
