Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Has Serial No,Allow Sales,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
OP-E504A-BLK,TWS,Nos,75,OnePlus,1,1,1,OnePlus Buds Z2 - Black E504A,ZeroMax Warehouse - ZX,ZEROMAX LLP
OP-E504A-WHI,TWS,Nos,75,OnePlus,1,1,1,OnePlus Buds Z2 - White E504A,ZeroMax Warehouse - ZX,ZEROMAX LLP
OP-E505A,TWS,Nos,45,OnePlus,1,1,1,OnePlus Buds N E505A,ZeroMax Warehouse - ZX,ZEROMAX LLP
OP-CB-C202A,TWS,Nos,23,OnePlus,1,1,1,OnePlus USB-A to Type-C 8A Gaming Elbow Cable 1.5m,ZeroMax Warehouse - ZX,ZEROMAX LLP
OP-BUDS-Z-Grey,TWS,Nos,65,OnePlus,1,1,1,OnePlus Buds Z Grey,ZeroMax Warehouse - ZX,ZEROMAX LLP
OP-E503A-BLK,TWS,Nos,125,OnePlus,1,1,1,OnePlus Buds Pro E503A BLACK,ZeroMax Warehouse - ZX,ZEROMAX LLP
OP-E503A-WHI,TWS,Nos,125,OnePlus,1,1,1,OnePlus Buds Pro E503A WHITE,ZeroMax Warehouse - ZX,ZEROMAX LLP
OP-E503A-SIL,TWS,Nos,125,OnePlus,1,1,1,OnePlus Buds Pro E503A SILVER,ZeroMax Warehouse - ZX,ZEROMAX LLP
OP-BUDS-PRO2-BLK,TWS,Nos,195,OnePlus,1,1,1,OnePlus Buds Pro 2 Black,ZeroMax Warehouse - ZX,ZEROMAX LLP
OP-BUDS-PRO2-GRN,TWS,Nos,195,OnePlus,1,1,1,OnePlus Buds Pro 2 Green,ZeroMax Warehouse - ZX,ZEROMAX LLP
