Item Code,Barcode
"880104070056","6941402764944"
"880104070031","6941402739935"
"810507000136","6941402773137"
"810507000148","6941402774400"
"810507000137","6941402717377"
"810507000139","6941402717391"
"810507000134","6941402772598"
"880107940001","6941402717360"
"810507000018","6941402737214"
"810507000076","6941402762452"
"810507000050","6941402758271"
"810202000060","6941402708733"
"810507000020","6941402737269"
"810507000151","6941402774820"
"810507000022","6941402738150"
"810507000078","6941402762735"
"810507000118","6941402769031"
"810507000098","6941402767730"
"810507000099","6941402767747"
"810507000120","6941402770181"
"810507000131","6941402771997"
"810507000117","6941402769024"
"810507000013","6941402736651"
"810507000032","6941402748760"
"810507000046","6941402754020"
"810507000127","6941402771577"
"810607000204","6941402739843"
"810302000001","6941402769826"
"810302000002","6941402769833"
"810302000003","6941402769840"
"810507000101","6941402767938"
"810607002809","6941402771751"
"810607002810","6941402771768"
"810607002811","6941402771775"
"810607002436","6941402768164"
"810607002437","6941402768171"
"810607002438","6941402768188"
"810607002439","6941402768195"
"810607002440","6941402768201"
"810607002441","6941402768218"
"810607002767","6941402771232"
"810607002768","6941402771249"
"810607002769","6941402771256"
"810607002770","6941402771263"
"810607002432","6941402768225"
"810607002433","6941402768232"
"810607002434","6941402768249"
"810607002435","6941402768256"
"810607002531","6941402769000"
"810607002532","6941402769017"
"810607002528","6941402768973"
"810607002529","6941402768980"
"810607002530","6941402768997"
"810607002633","6941402770198"
"810607002944","6941402774523"
"810607002945","6941402774530"
"810607002946","6941402774547"
"810607002842","6941402772543"
"810607002843","6941402772550"
"810607002844","6941402772567"
"810607002870","6941402772758"
"810607002871","6941402772765"
"810607002826","6941402772062"
"810607002829","6941402772093"
"810607002830","6941402772109"
"810607002695","6941402770730"
"810607002696","6941402770747"
"810607002697","6941402770754"
"810607002698","6941402770761"
"810607002699","6941402770778"
"810607001697","6941402761110"
"810607001699","6941402761134"
"810607001700","6941402761141"
"810607002216","6941402765699"
"810607002217","6941402765705"
"810607002218","6941402765712"
"810607002710","6941402770853"
"810607002711","6941402770860"
"810607002712","6941402770877"
"810607002713","6941402770884"
"810607002714","6941402770891"
"810607002715","6941402770907"
"810607002716","6941402770914"
"810607002717","6941402770921"
"810607001706","6941402761202"
"810607001707","6941402761219"
"810607001469","6941402759643"
"810607001470","6941402759650"
"810607002822","6941402772024"
"810607002823","6941402772031"
"810607002824","6941402772048"
"810607002825","6941402772055"
"810607002783","6941402771478"
"810607002788","6941402771522"
"810607002868","6941402772734"
"810607002700","6941402770785"
"810607002702","6941402770808"
"810607002703","6941402770815"
"810607002704","6941402770822"
"810607001425","6941402758929"
"810607001426","6941402758936"
"810607001427","6941402758943"
"810607001429","6941402758967"
"810607001431","6941402758981"
"810607001432","6941402758998"
"810607001433","6941402759001"
"810607001434","6941402759018"
"810607002939","6941402774479"
"810607002940","6941402774486"
"810607002941","6941402774493"
"810607002942","6941402774509"
"810607002943","6941402774516"
"810607002845","6941402772574"
"810607002846","6941402772574"
"810607002827","6941402772079"
"810607002828","6941402772086"
"810607002806","6941402771720"
"810607002807","6941402771737"
"810607002808","6941402771744"
"810607002784","6941402771485"
"810607002785","6941402771492"
"810607002786","6941402771508"
"810607002787","6941402771515"
"810607001042","6941402754235"
"810607001044","6941402754259"
"810607001045","6941402754266"
"810607001052","6941402754334"
"810607000250","6941402742591"
"810607000557","6941402746759"
"810607000559","6941402746773"
"810607001558","6941402760601"
"810607002617","6941402769536"
"810607002618","6941402769543"
"810607002619","6941402769550"
"810607001563","6941402760656"
"810607001564","6941402760663"
"810607002620","6941402769567"
"810607002622","6941402769581"
"810607001566","6941402760687"
"880206020004","6941402762889"
"811007000002","6941402775414"
"880202070035","6941402770983"
"880202070039","6941402774431"
"880202070025","6941402765828"
"880202070033","6941402768331"
"880202070029","6941402766627"
"880202020007","6941402710804"
"880202070034","6941402768577"
"880201070010","6941402745929"
"810201000435","6941402715175"
"880206070160","6941402763770"
"810201000436","6941402715182"
"810201000438","6941402715359"
"880101020011","880101020011"
"880207020001","880207020001"
"880207020031","880207020031"
"880206020026","880206020026"
"880207020048","880207020048"
"880207020049","880207020049"
"880207020050","880207020050"
"880207020051","880207020051"
"880207020003","880207020003"
"880207020017","880207020017"
"880207020018","880207020018"
"880207020019","880207020019"
"880207020020","880207020020"
"880207020021","880207020021"
"880207020022","880207020022"
"880207020004","880207020004"
"880207020005","880207020005"
"880207020006","880207020006"
"880207020007","880207020007"
"880207020008","880207020008"
"880207020009","880207020009"
"880207020010","880207020010"
"880207020011","880207020011"
"880207020012","880207020012"
"880207020015","880207020015"
"880207020016","880207020016"
"880207020023","880207020023"
"880207020024","880207020024"
"880207020025","880207020025"
"880207020026","880207020026"
"880207020027","880207020027"
"880207020028","880207020028"
"880207020029","880207020029"
"880206020027","880206020027"
"880207020046","880207020046"
"880108020001","880108020001"
"880108020002","880108020002"
"880108020003","880108020003"
"880108020004","880108020004"
"880108020005","880108020005"
"880108020006","880108020006"
"880108020013","880108020013"
"880108020014","880108020014"
"880108020015","880108020015"
"880108020016","880108020016"
"880207020045","880207020045"
"880108020017","880108020017"
"880207020052","880207020052"
"880207020053","880207020053"
"880207020054","880207020054"
"880207020055","880207020055"
"880108020007","880108020007"
"880108020008","880108020008"
"880108020009","880108020009"
"880108020010","880108020010"
"880108020011","880108020011"
"880108020012","880108020012"
"880206020028","880206020028"
"880108020018","880108020018"
"880108020019","880108020019"
"880108020020","880108020020"
"880108020021","880108020021"
"880108020022","880108020022"
"880207020047","880207020047"
"880207020030","880207020030"
"811202000038","811202000038"
"811202000039","811202000039"
"811202000040","811202000040"
"811202000041","811202000041"
"810102002248","810102002248"
"810102002256","810102002256"
"810102002257","810102002257"
"810102002258","810102002258"
"810102002259","810102002259"
"810102002260","810102002260"
"810102002261","810102002261"
"810102002271","810102002271"
"810102002282","810102002282"
"810102002283","810102002283"
"810102002284","810102002284"
"811202000001","811202000001"
"810102002285","810102002285"
"811202000033","811202000033"
"811202000029","811202000029"
"811202000014","811202000014"
"811202000015","811202000015"
"811202000016","811202000016"
"811202000017","811202000017"
"811202000018","811202000018"
"811202000019","811202000019"
"811202000003","811202000003"
"811202000004","811202000004"
"811202000005","811202000005"
"811202000006","811202000006"
"811202000007","811202000007"
"811202000008","811202000008"
"811202000009","811202000009"
"811202000010","811202000010"
"811202000011","811202000011"
"811202000012","811202000012"
"811202000013","811202000013"
"811202000022","811202000022"
"811202000023","811202000023"
"811202000024","811202000024"
"811202000025","811202000025"
"811202000026","811202000026"
"811202000027","811202000027"
"811202000028","811202000028"
"811202000034","811202000034"
"811202000035","811202000035"
"811202000036","811202000036"
"811202000037","811202000037"
"811202000002","811202000002"
"810102002249","810102002249"
"811202000032","811202000032"
"810102002250","810102002250"
"810102002251","810102002251"
"810102002252","810102002252"
"810102002253","810102002253"
"810102002254","810102002254"
"810102002255","810102002255"
"810102002286","810102002286"
"810102002287","810102002287"
"810102002288","810102002288"
"810102002289","810102002289"
"811202000031","811202000031"
"810102002290","810102002290"
"880109070003","6941402772727"
"880206070244","6941402771225"
"280206070245","6941402772376"
"280206070246","6941402772383"
