Item Code,Barcode (Barcodes)
SDSDQM-032G-B35,619659061647
SDSQQNR-032G-GN6IA,619659173067
SDSQQNR-064G-GN6IA,619659173081
SDSQQNR-128G-GN6IA,619659173104
SDSQQNR-256G-GN6IA,619659173227
SDSQQNR-512G-GN6IA,619659205003
SDSQQVR-064G-GN6IA,619659178505
SDSQQVR-128G-GN6IA,619659178529
SDSQQVR-256G-GN6IA,619659178543
SDSQUNR-032G-GN3MN,619659184384
SDSQUNR-064G-GN3MN,619659185077
SDSQUNR-128G-GN3MN,619659196509
SDSQUNR-256G-GN3MN,619659196516
SDSQUNR-512G-GN3MN,619659196622
SDSQUA4-400G-GN6MN,619659181703
SDSQUA4-032G-GN6MN,619659184162
SDSQUAB-064G-GN6MN,619659200473
SDSQUAB-128G-GN6MN,619659200480
SDSQUAC-256G-GN6MN,619659200497
SDSQUAC-512G-GN6MN,619659200503
SDSQUAC-1T00-GN6MN,619659200510
SDSQXAF-032G-GN6MN,619659177416
SDSQXA1-400G-GN6MN,619659180058
SDSQXA1-1T00-GN6MN,619659180072
SDSQXAH-064G-GN6MN,619659193416
SDSQXAA-128G-GN6MN,619659188467
SDSQXAV-256G-GN6MN,619659188511
SDSQXAV-512G-GN6MN,619659189655
SDSQXAV-1T00-GN6MN,619659188481
SDSQXAH-064G-GN6GN,619659193393
SDSQXAA-128G-GN6GN,619659188443
SDSQXAV-256G-GN6GN,619659188498
SDSQXAH-064G-GN6AA,619659193386
SDSQXAA-128G-GN6AA,619659189488
SDSQXA1-128G-GN6AA,619659170714
SDSQXAO-064G-GN3ZN,619659205829
SDSQXAO-128G-GN3ZN,619659188269
SDSQXAO-256G-GN3ZN,619659188276
SDSQXAO-512G-GN3ZN,619659188290
SDSQXAO-128G-GN3ZY,619659188245
SDSQXCG-032G-GN6MA,619659155414
SDSQXCU-064G-GN6MA,619659188573
SDSQXCD-128G-GN6MA,619659188528
SDSQXCD-256G-GN6MA,619659188542
SDSQXCD-512G-GN6MA,619659188566
SDSQXCD-1T00-GN6MA,619659188535
SDSDUNR-032G-GN3IN,619659185275
SDSDUNR-064G-GN3IN,619659185282
SDSDUNR-128G-GN3IN,619659185299
SDSDUNR-256G-GN3IN,619659178222
SDSDXV5-256G-GNCIN,619659170653
SDSDXVT-032G-GNCIN,619659188924
SDSDXV2-064G-GNCIN,619659188610
SDSDXVA-128G-GNCIN,619659188863
SDSDXVV-256G-GNCIN,619659188948
SDSDXXY-512G-GN4IN,619659171148
SDSDXXO-032G-GN4IN,619659188689
SDSDXXU-064G-GN4IN,619659188719
SDSDXXD-128G-GN4IN,619659188634
SDSDXXD-256G-GN4IN,619659188658
SDSDXXD-512G-GN4IN,619659188665
SDSDXXD-1T00-GN4IN,619659188641
SDSDXDK-032G-GN4IN,619659186586
SDSDXDK-064G-GN4IN,619659186616
SDSDXDK-128G-GN4IN,619659186647
SDSDXDK-256G-GN4IN,619659186678
SDSDXDK-512G-GN4IN,619659202217
SDCFXPS-032G-X46,619659102432
SDCFXPS-064G-X46,619659102463
SDCFXPS-128G-X46,619659102500
SDCFXPS-256G-X46,619659102548
SDCFXSB-032G-G46,619659123680
SDCFXSB-064G-G46,619659123710
SDCFXSB-128G-G46,619659124748
SDCFE-064G-GN4NN,619659180768
SDCFE-128G-GN4NN,619659180805
SDCFE-256G-GN4NN,619659180843
SDCFE-512G-GN4NN,619659180881
SDCZ50-008G-B35,619659000424
SDCZ50-016G-B35,619659000431
SDCZ50-032G-B35,619659069193
SDCZ50-064G-B35,619659097318
SDCZ50-128G-B35,619659125905
SDCZ50C-016G-B35BE,619659141059
SDCZ50C-016G-B35GE,619659141080
SDCZ50C-016G-B35PE,619659141066
SDCZ50C-016G-B35W,619659099237
SDCZ60-032G-B35,619659075576
SDCZ60-064G-B35,619659075583
SDCZ60-128G-B35,619659082338
SDCZ600-016G-G35,619659115883
SDCZ600-032G-G35,619659115890
SDCZ600-064G-G35,619659115906
SDCZ600-128G-G35,619659115913
SDCZ600-256G-G35,619659143459
SDCZ430-016G-G46,619659163372
SDCZ430-032G-G46,619659163402
SDCZ430-064G-G46,619659163730
SDCZ430-128G-G46,619659163761
SDCZ430-256G-G46,619659163792
SDCZ430-512G-G46,619659179328
SDCZ48-016G-U46,619659102135
SDCZ48-032G-U46,619659102166
SDCZ48-064G-U46,619659102197
SDCZ48-128G-U46,619659113568
SDCZ48-256G-U46,619659125974
SDCZ48-512G-G46,619659179397
SDCZ73-016G-G46,619659136680
SDCZ73-032G-G46,619659136697
SDCZ73-064G-G46,619659136703
SDCZ73-128G-G46,619659136710
SDCZ73-256G-G46,619659154189
SDCZ73-512G-G46,619659179489
SDCZ74-032G-G46,619659172510
SDCZ74-064G-G46,619659172831
SDCZ74-128G-G46,619659172855
SDCZ74-256G-G46,619659172879
SDCZ74-512G-G46,619659179427
SDCZ96-064G-G46,619659196097
SDCZ96-128G-G46,619659196431
SDCZ96-256G-G46,619659196479
SDCZ96-512G-G46,619659197032
SDCZ480-064G-G46,619659189945
SDCZ480-128G-G46,619659189983
SDCZ480-256G-G46,619659190026
SDCZ75-064G-G46,619659206031
SDCZ75-128G-G46,619659203368
SDCZ75-256G-G46,619659203511
SDCZ810-064G-G46,619659182502
SDCZ810-128G-G46,619659182724
SDCZ810-256G-G46,619659182748
SDCZ880-128G-G46,619659152512
SDCZ880-256G-G46,619659152826
SDCZ880-512G-G46,619659180331
SDCZ880-1T00-G46,619659180324
SDDDC2-032G-G46,619659142049
SDDDC2-064G-G46,619659142056
SDDDC2-128G-G46,619659142063
SDDDC2-256G-G46,619659154844
SDDDC3-032G-G46,619659177140
SDDDC3-064G-G46,619659177171
SDDDC3-064G-G46G,619659182373
SDDDC3-064G-G46NB,619659186999
SDDDC3-064G-G46PC,619659185961
SDDDC3-128G-G46,619659177201
SDDDC3-128G-G46G,619659182397
SDDDC3-128G-G46NB,619659187002
SDDDC3-128G-G46PC,619659185978
SDDDC3-256G-G46,619659177638
SDDDC3-256G-G46G,619659182410
SDDDC3-256G-G46NB,619659187019
SDDDC3-256G-G46PC,619659185985
SDDDC3-512G-G46,619659180140
SDDDC4-032G-G46,619659178581
SDDDC4-064G-G46,619659179021
SDDDC4-128G-G46,619659179069
SDDDC4-256G-G46,619659179144
SDDDC4-512G-G46,619659179182
SDDDC4-1T00-G46,619659179106
SDSSDA-240G-G26,619659146726
SDSSDA-480G-G26,619659146757
SDSSDA-1T00-G27,619659167196
SDSSDA-2T00-G26,619659177836
SDSSDH3-500G-G26,619659197131
SDSSDH3-1T00-G25,619659155193
SDSSDH3-2T00-G25,619659155476
SDSSDH3-4T00-G25,619659174729
SDSSDE30-480G-G25,619659184339
SDSSDE30-1T00-G26,619659204877
SDSSDE30-2T00-G26,619659204853
SDSSDE61-500G-G25,619659182588
SDSSDE61-1T00-G25,619659182557
SDSSDE61-2T00-G25,619659184674
SDSSDE61-4T00-G25,619659184704
SDSSDE61-1T00-G25B,619659182588
SDSSDE61-2T00-G25B,619659182557
SDSSDE61-4T00-G25B,619659184674
SDSSDE61-1T00-G25M,619659182588
SDSSDE61-2T00-G25M,619659182557
SDSSDE61-4T00-G25M,619659184674
SDSSDE81-1T00-G25,619659181284
SDSSDE81-2T00-G25,619659181314
SDSSDE81-4T00-G25,619659184735
SDIX60N-064G-GN6NN,619659169381
SDIX60N-128G-GN6NE,619659169411
SDIX60N-256G-GN6NE,619659169947
SDIX70N-064G-GN6NN,619659181932
SDIX70N-128G-GN6NE,619659181956
SDIX70N-256G-GN6NE,619659181970
SDIX90N-032G-GN6NN,619659181383
SDIX90N-064G-GN6NN,619659181413
SDIX90N-064G-GN6NK,619659192495
SDIX90N-128G-GN6NE,619659181437
SDIX90N-128G-GN6NJ,619659192501
SDIX90N-256G-GN6NE,619659181451
SDDR-409-G46,619659161064
SDDR-A631-GNGNN,619659176846
