Item Code,Item Name
SDSDQM-032G-B35,"SanDisk microSDHC, SDQM 32GB, C4, 3x5, 5Y"
SDSQQNR-032G-GN6IA,"SanDisk High Endurance microSDHC™ Card, SQQNR 32G, (2,500 Hrs), UHS-I, C10, U3, V30, 100MB/s R, 40MB/s W, SD adaptor, 2Y"
SDSQQNR-064G-GN6IA,"SanDisk High Endurance microSDXC™ Card, SQQNR 64G, (5,000 Hrs), UHS-I, C10, U3, V30, 100MB/s R, 40MB/s W, SD adaptor, 2Y"
SDSQQNR-128G-GN6IA,"SanDisk High Endurance microSDXC™ Card, SQQNR 128G, (10,000 Hrs), UHS-I, C10, U3, V30, 100MB/s R, 40MB/s W, SD adaptor, 2Y"
SDSQQNR-256G-GN6IA,"SanDisk High Endurance microSDXC™ Card, SQQNR 256G, (20,000 Hrs), UHS-I, C10, U3, V30, 100MB/s R, 40MB/s W, SD adaptor, 2Y"
SDSQQNR-512G-GN6IA,"SanDisk High Endurance microSDXC™ Card, SQQNR 512G, (40,000 Hrs), UHS-I, C10, U3, V30, 100MB/s R, 40MB/s W, SD adaptor, 2Y"
SDSQQVR-064G-GN6IA,"SanDisk MAX ENDURANCE microSDXC™ Card, SQQVR 64G, (30,000 Hrs), UHS-I, C10, U3, V30, 100MB/s R, 40MB/s W, SD adaptor, 5Y"
SDSQQVR-128G-GN6IA,"SanDisk MAX ENDURANCE microSDXC™ Card, SQQVR 128G, (60,000 Hrs), UHS-I, C10, U3, V30, 100MB/s R, 40MB/s W, SD adaptor, 10Y"
SDSQQVR-256G-GN6IA,"SanDisk MAX ENDURANCE microSDXC™ Card, SQQVR 256G, (120,000 Hrs), UHS-I, C10, U3, V30, 100MB/s R, 40MB/s W, SD adaptor, 15Y"
SDSQUNR-032G-GN3MN,"SanDisk Ultra microSDHC, SQUNR 32GB, C10, UHS-1, 100MB/s R, 3x5, 7Y"
SDSQUNR-064G-GN3MN,"SanDisk Ultra microSDXC, SQUNR 64GB, C10, UHS-1, 100MB/s R, 3x5, 7Y"
SDSQUNR-128G-GN3MN,"SanDisk Ultra microSDXC, SQUNR 128GB, C10, UHS-1, 100MB/s R, 3x5, 7Y"
SDSQUNR-256G-GN3MN,"SanDisk Ultra microSDXC, SQUNR 256GB, C10, UHS-1, 100MB/s R, 3x5, 7Y"
SDSQUNR-512G-GN3MN,"SanDisk Ultra microSDXC, SQUNR 512GB, C10, UHS-1, 100MB/s R, 3x5, 7Y"
SDSQUA4-400G-GN6MN,"SanDisk Ultra microSDXC, SQUA4 400GB, A1, C10, U1, UHS-I, 120MB/s R, 10Y"
SDSQUA4-032G-GN6MN,"SanDisk Ultra microSDHC, SQUA4 32GB, A1, C10, U1, UHS-I, 120MB/s R, 4x6, 10Y"
SDSQUAB-064G-GN6MN,"SanDisk Ultra microSDXC, SQUAB 64GB, A1, C10, U1, UHS-I, 140MB/s R, 4x6, 10Y"
SDSQUAB-128G-GN6MN,"SanDisk Ultra microSDXC, SQUAB128GB, A1, C10, U1, UHS-I, 140MB/s R, 4x6, 10Y"
SDSQUAC-256G-GN6MN,"SanDisk Ultra microSDXC, SQUAC 256GB, A1, C10, U1, UHS-I, 150MB/s R, 4x6, 10Y"
SDSQUAC-512G-GN6MN,"SanDisk Ultra microSDXC, SQUAC 512GB, A1, C10, U1, UHS-I, 150MB/s R, 4x6, 10Y"
SDSQUAC-1T00-GN6MN,"SanDisk Ultra microSDXC, SQUAC 1TB, A1, C10, U1, UHS-I, 150MB/s R, 4x6, 10Y"
SDSQXAF-032G-GN6MN,"SanDisk Extreme microSDHC, SQXAF 32GB, V30, U3, C10, A1, UHS-1, 100MB/s R, 60MB/s W, 4x6, Lifetime Limited"
SDSQXA1-400G-GN6MN,"SanDisk Extreme microSDXC,400GB, V30, U3, C10, A2, UHS-I, 160MB/s R, 90MB/s W, 4x6, Lifetime Limited"
SDSQXA1-1T00-GN6MN,"SanDisk Extreme microSDXC,1TB, V30, U3, C10, A2, UHS-I, 160MB/s R, 90MB/s W, 4x6, Lifetime Limited"
SDSQXAH-064G-GN6MN,"SanDisk Extreme microSDXC, SQXAH 64GB, V30, U3, C10, A2, UHS-I, 170MB/s R, 80MB/s W, 4x6, Lifetime Limited"
SDSQXAA-128G-GN6MN,"SanDisk Extreme microSDXC, SQXAA 128GB, V30, U3, C10, A2, UHS-I, 190MB/s R, 90MB/s W, 4x6, Lifetime Limited"
SDSQXAV-256G-GN6MN,"SanDisk Extreme microSDXC, SQXAV 256GB, V30, U3, C10, A2, UHS-I, 190MB/s R, 130MB/s W, 4x6, Lifetime Limited"
