Item Code,Price List,Rate,Selling,Buying
SDSDQM-032G-B35,Sandisk Jan2024 Selling Price,$5.30,1,0
SDSQQNR-032G-GN6IA,Sandisk Jan2024 Selling Price,$10.00,1,0
SDSQQNR-064G-GN6IA,Sandisk Jan2024 Selling Price,$10.30,1,0
SDSQQNR-128G-GN6IA,Sandisk Jan2024 Selling Price,$18.20,1,0
SDSQQNR-256G-GN6IA,Sandisk Jan2024 Selling Price,$33.80,1,0
SDSQQNR-512G-GN6IA,Sandisk Jan2024 Selling Price,$67.40,1,0
SDSQQVR-064G-GN6IA,Sandisk Jan2024 Selling Price,$20.50,1,0
SDSQQVR-128G-GN6IA,Sandisk Jan2024 Selling Price,$33.40,1,0
SDSQQVR-256G-GN6IA,Sandisk Jan2024 Selling Price,$62.00,1,0
SDSQUNR-032G-GN3MN,Sandisk Jan2024 Selling Price,$5.60,1,0
SDSQUNR-064G-GN3MN,Sandisk Jan2024 Selling Price,$7.20,1,0
SDSQUNR-128G-GN3MN,Sandisk Jan2024 Selling Price,$13.10,1,0
SDSQUNR-256G-GN3MN,Sandisk Jan2024 Selling Price,$23.00,1,0
SDSQUNR-512G-GN3MN,Sandisk Jan2024 Selling Price,$45.80,1,0
SDSQUA4-400G-GN6MN,Sandisk Jan2024 Selling Price,$50.20,1,0
SDSQUA4-032G-GN6MN,Sandisk Jan2024 Selling Price,$6.50,1,0
SDSQUAB-064G-GN6MN,Sandisk Jan2024 Selling Price,$7.90,1,0
SDSQUAB-128G-GN6MN,Sandisk Jan2024 Selling Price,$14.40,1,0
SDSQUAC-256G-GN6MN,Sandisk Jan2024 Selling Price,$26.50,1,0
SDSQUAC-512G-GN6MN,Sandisk Jan2024 Selling Price,$52.90,1,0
SDSQUAC-1T00-GN6MN,Sandisk Jan2024 Selling Price,$131.80,1,0
SDSQXAF-032G-GN6MN,Sandisk Jan2024 Selling Price,9,1,0
SDSQXA1-400G-GN6MN,Sandisk Jan2024 Selling Price,$75.10,1,0
SDSQXA1-1T00-GN6MN,Sandisk Jan2024 Selling Price,$238.20,1,0
SDSQXAH-064G-GN6MN,Sandisk Jan2024 Selling Price,$9.90,1,0
SDSQXAA-128G-GN6MN,Sandisk Jan2024 Selling Price,$18.20,1,0
SDSQXAV-256G-GN6MN,Sandisk Jan2024 Selling Price,$32.30,1,0
SDSQXAV-512G-GN6MN,Sandisk Jan2024 Selling Price,$64.50,1,0
SDSQXAV-1T00-GN6MN,Sandisk Jan2024 Selling Price,$147.20,1,0
SDSQXAH-064G-GN6GN,Sandisk Jan2024 Selling Price,$9.90,1,0
SDSQXAA-128G-GN6GN,Sandisk Jan2024 Selling Price,$18.20,1,0
SDSQXAV-256G-GN6GN,Sandisk Jan2024 Selling Price,$32.30,1,0
SDSQXAH-064G-GN6AA,Sandisk Jan2024 Selling Price,$18.40,1,0
