Item Code,Price List,Rate,Selling,Buying
SDSDQM-032G-B35,Sandisk Jan2024 Selling Price,5.3,1,0
SDSQQNR-032G-GN6IA,Sandisk Jan2024 Selling Price,10,1,0
SDSQQNR-064G-GN6IA,Sandisk Jan2024 Selling Price,10.3,1,0
SDSQQNR-128G-GN6IA,Sandisk Jan2024 Selling Price,18.2,1,0
SDSQQNR-256G-GN6IA,Sandisk Jan2024 Selling Price,33.8,1,0
SDSQQNR-512G-GN6IA,Sandisk Jan2024 Selling Price,67.4,1,0
SDSQQVR-064G-GN6IA,Sandisk Jan2024 Selling Price,20.5,1,0
SDSQQVR-128G-GN6IA,Sandisk Jan2024 Selling Price,33.4,1,0
SDSQQVR-256G-GN6IA,Sandisk Jan2024 Selling Price,62,1,0
SDSQUNR-032G-GN3MN,Sandisk Jan2024 Selling Price,5.6,1,0
SDSQUNR-064G-GN3MN,Sandisk Jan2024 Selling Price,7.2,1,0
SDSQUNR-128G-GN3MN,Sandisk Jan2024 Selling Price,13.1,1,0
SDSQUNR-256G-GN3MN,Sandisk Jan2024 Selling Price,23,1,0
SDSQUNR-512G-GN3MN,Sandisk Jan2024 Selling Price,45.8,1,0
SDSQUA4-400G-GN6MN,Sandisk Jan2024 Selling Price,50.2,1,0
SDSQUA4-032G-GN6MN,Sandisk Jan2024 Selling Price,6.5,1,0
SDSQUAB-064G-GN6MN,Sandisk Jan2024 Selling Price,7.9,1,0
SDSQUAB-128G-GN6MN,Sandisk Jan2024 Selling Price,14.4,1,0
SDSQUAC-256G-GN6MN,Sandisk Jan2024 Selling Price,26.5,1,0
SDSQUAC-512G-GN6MN,Sandisk Jan2024 Selling Price,52.9,1,0
SDSQUAC-1T00-GN6MN,Sandisk Jan2024 Selling Price,131.8,1,0
SDSQXAF-032G-GN6MN,Sandisk Jan2024 Selling Price,9,1,0
SDSQXA1-400G-GN6MN,Sandisk Jan2024 Selling Price,75.1,1,0
SDSQXA1-1T00-GN6MN,Sandisk Jan2024 Selling Price,238.2,1,0
SDSQXAH-064G-GN6MN,Sandisk Jan2024 Selling Price,9.9,1,0
SDSQXAA-128G-GN6MN,Sandisk Jan2024 Selling Price,18.2,1,0
SDSQXAV-256G-GN6MN,Sandisk Jan2024 Selling Price,32.3,1,0
SDSQXAV-512G-GN6MN,Sandisk Jan2024 Selling Price,64.5,1,0
SDSQXAV-1T00-GN6MN,Sandisk Jan2024 Selling Price,147.2,1,0
SDSQXAH-064G-GN6GN,Sandisk Jan2024 Selling Price,9.9,1,0
SDSQXAA-128G-GN6GN,Sandisk Jan2024 Selling Price,18.2,1,0
SDSQXAV-256G-GN6GN,Sandisk Jan2024 Selling Price,32.3,1,0
SDSQXAH-064G-GN6AA,Sandisk Jan2024 Selling Price,18.4,1,0
SDSQXAA-128G-GN6AA,Sandisk Jan2024 Selling Price,34.1,1,0
SDSQXA1-128G-GN6AA,Sandisk Jan2024 Selling Price,29.5,1,0
SDSQXAO-064G-GN3ZN,Sandisk Jan2024 Selling Price,11.8,1,0
SDSQXAO-128G-GN3ZN,Sandisk Jan2024 Selling Price,21.9,1,0
SDSQXAO-256G-GN3ZN,Sandisk Jan2024 Selling Price,40,1,0
SDSQXAO-512G-GN3ZN,Sandisk Jan2024 Selling Price,79.9,1,0
SDSQXAO-128G-GN3ZY,Sandisk Jan2024 Selling Price,23,1,0
SDSQXCG-032G-GN6MA,Sandisk Jan2024 Selling Price,13.4,1,0
SDSQXCU-064G-GN6MA,Sandisk Jan2024 Selling Price,13.9,1,0
SDSQXCD-128G-GN6MA,Sandisk Jan2024 Selling Price,24.5,1,0
SDSQXCD-256G-GN6MA,Sandisk Jan2024 Selling Price,42.9,1,0
SDSQXCD-512G-GN6MA,Sandisk Jan2024 Selling Price,84.7,1,0
SDSQXCD-1T00-GN6MA,Sandisk Jan2024 Selling Price,192.4,1,0
SDSDUNR-032G-GN3IN,Sandisk Jan2024 Selling Price,6.6,1,0
SDSDUNR-064G-GN3IN,Sandisk Jan2024 Selling Price,9.1,1,0
SDSDUNR-128G-GN3IN,Sandisk Jan2024 Selling Price,16.2,1,0
SDSDUNR-256G-GN3IN,Sandisk Jan2024 Selling Price,30.6,1,0
SDSDXV5-256G-GNCIN,Sandisk Jan2024 Selling Price,49.4,1,0
SDSDXVT-032G-GNCIN,Sandisk Jan2024 Selling Price,9.5,1,0
SDSDXV2-064G-GNCIN,Sandisk Jan2024 Selling Price,12.4,1,0
SDSDXVA-128G-GNCIN,Sandisk Jan2024 Selling Price,22.7,1,0
SDSDXVV-256G-GNCIN,Sandisk Jan2024 Selling Price,45.1,1,0
SDSDXXY-512G-GN4IN,Sandisk Jan2024 Selling Price,175.9,1,0
SDSDXXO-032G-GN4IN,Sandisk Jan2024 Selling Price,13.9,1,0
SDSDXXU-064G-GN4IN,Sandisk Jan2024 Selling Price,18.3,1,0
SDSDXXD-128G-GN4IN,Sandisk Jan2024 Selling Price,33.1,1,0
SDSDXXD-256G-GN4IN,Sandisk Jan2024 Selling Price,65.8,1,0
SDSDXXD-512G-GN4IN,Sandisk Jan2024 Selling Price,131.3,1,0
SDSDXXD-1T00-GN4IN,Sandisk Jan2024 Selling Price,302.7,1,0
SDSDXDK-032G-GN4IN,Sandisk Jan2024 Selling Price,62.9,1,0
SDSDXDK-064G-GN4IN,Sandisk Jan2024 Selling Price,121.3,1,0
SDSDXDK-128G-GN4IN,Sandisk Jan2024 Selling Price,225.5,1,0
SDSDXDK-256G-GN4IN,Sandisk Jan2024 Selling Price,412.1,1,0
SDSDXDK-512G-GN4IN,Sandisk Jan2024 Selling Price,918.1,1,0
SDCFXPS-032G-X46,Sandisk Jan2024 Selling Price,58.5,1,0
SDCFXPS-064G-X46,Sandisk Jan2024 Selling Price,88.3,1,0
SDCFXPS-128G-X46,Sandisk Jan2024 Selling Price,143.3,1,0
SDCFXPS-256G-X46,Sandisk Jan2024 Selling Price,252.6,1,0
SDCFXSB-032G-G46,Sandisk Jan2024 Selling Price,44.6,1,0
SDCFXSB-064G-G46,Sandisk Jan2024 Selling Price,62.5,1,0
SDCFXSB-128G-G46,Sandisk Jan2024 Selling Price,91.7,1,0
SDCFE-064G-GN4NN,Sandisk Jan2024 Selling Price,132.8,1,0
SDCFE-128G-GN4NN,Sandisk Jan2024 Selling Price,195,1,0
SDCFE-256G-GN4NN,Sandisk Jan2024 Selling Price,341.1,1,0
SDCFE-512G-GN4NN,Sandisk Jan2024 Selling Price,537,1,0
SDCZ50-008G-B35,Sandisk Jan2024 Selling Price,4.6,1,0
SDCZ50-016G-B35,Sandisk Jan2024 Selling Price,4.8,1,0
SDCZ50-032G-B35,Sandisk Jan2024 Selling Price,5.1,1,0
SDCZ50-064G-B35,Sandisk Jan2024 Selling Price,6.5,1,0
SDCZ50-128G-B35,Sandisk Jan2024 Selling Price,12,1,0
SDCZ50C-016G-B35BE,Sandisk Jan2024 Selling Price,4.8,1,0
SDCZ50C-016G-B35GE,Sandisk Jan2024 Selling Price,4.8,1,0
SDCZ50C-016G-B35PE,Sandisk Jan2024 Selling Price,4.8,1,0
SDCZ50C-016G-B35W,Sandisk Jan2024 Selling Price,4.8,1,0
SDCZ60-032G-B35,Sandisk Jan2024 Selling Price,5.4,1,0
SDCZ60-064G-B35,Sandisk Jan2024 Selling Price,6.8,1,0
SDCZ60-128G-B35,Sandisk Jan2024 Selling Price,12.3,1,0
SDCZ600-016G-G35,Sandisk Jan2024 Selling Price,5.6,1,0
SDCZ600-032G-G35,Sandisk Jan2024 Selling Price,5.8,1,0
SDCZ600-064G-G35,Sandisk Jan2024 Selling Price,7.3,1,0
SDCZ600-128G-G35,Sandisk Jan2024 Selling Price,12.8,1,0
SDCZ600-256G-G35,Sandisk Jan2024 Selling Price,25.2,1,0
SDCZ430-016G-G46,Sandisk Jan2024 Selling Price,7,1,0
SDCZ430-032G-G46,Sandisk Jan2024 Selling Price,7.3,1,0
SDCZ430-064G-G46,Sandisk Jan2024 Selling Price,8.7,1,0
SDCZ430-128G-G46,Sandisk Jan2024 Selling Price,14.1,1,0
SDCZ430-256G-G46,Sandisk Jan2024 Selling Price,27.7,1,0
SDCZ430-512G-G46,Sandisk Jan2024 Selling Price,55.3,1,0
SDCZ48-016G-U46,Sandisk Jan2024 Selling Price,5.9,1,0
SDCZ48-032G-U46,Sandisk Jan2024 Selling Price,6.1,1,0
SDCZ48-064G-U46,Sandisk Jan2024 Selling Price,7.6,1,0
SDCZ48-128G-U46,Sandisk Jan2024 Selling Price,13.3,1,0
SDCZ48-256G-U46,Sandisk Jan2024 Selling Price,26.5,1,0
SDCZ48-512G-G46,Sandisk Jan2024 Selling Price,52.7,1,0
SDCZ73-016G-G46,Sandisk Jan2024 Selling Price,6.4,1,0
SDCZ73-032G-G46,Sandisk Jan2024 Selling Price,6.5,1,0
SDCZ73-064G-G46,Sandisk Jan2024 Selling Price,7.9,1,0
SDCZ73-128G-G46,Sandisk Jan2024 Selling Price,14.1,1,0
SDCZ73-256G-G46,Sandisk Jan2024 Selling Price,27.7,1,0
SDCZ73-512G-G46,Sandisk Jan2024 Selling Price,55.3,1,0
SDCZ74-032G-G46,Sandisk Jan2024 Selling Price,8.5,1,0
SDCZ74-064G-G46,Sandisk Jan2024 Selling Price,9.7,1,0
SDCZ74-128G-G46,Sandisk Jan2024 Selling Price,15.5,1,0
SDCZ74-256G-G46,Sandisk Jan2024 Selling Price,29.3,1,0
SDCZ74-512G-G46,Sandisk Jan2024 Selling Price,56.9,1,0
SDCZ96-064G-G46,Sandisk Jan2024 Selling Price,9.2,1,0
SDCZ96-128G-G46,Sandisk Jan2024 Selling Price,14.6,1,0
SDCZ96-256G-G46,Sandisk Jan2024 Selling Price,27.2,1,0
SDCZ96-512G-G46,Sandisk Jan2024 Selling Price,52.1,1,0
SDCZ480-064G-G46,Sandisk Jan2024 Selling Price,9.8,1,0
SDCZ480-128G-G46,Sandisk Jan2024 Selling Price,16.5,1,0
SDCZ480-256G-G46,Sandisk Jan2024 Selling Price,30.9,1,0
SDCZ75-064G-G46,Sandisk Jan2024 Selling Price,10.7,1,0
SDCZ75-128G-G46,Sandisk Jan2024 Selling Price,17.7,1,0
SDCZ75-256G-G46,Sandisk Jan2024 Selling Price,32.9,1,0
SDCZ810-064G-G46,Sandisk Jan2024 Selling Price,24.1,1,0
SDCZ810-128G-G46,Sandisk Jan2024 Selling Price,40.2,1,0
SDCZ810-256G-G46,Sandisk Jan2024 Selling Price,70,1,0
SDCZ880-128G-G46,Sandisk Jan2024 Selling Price,52.3,1,0
SDCZ880-256G-G46,Sandisk Jan2024 Selling Price,84.9,1,0
SDCZ880-512G-G46,Sandisk Jan2024 Selling Price,152.7,1,0
SDCZ880-1T00-G46,Sandisk Jan2024 Selling Price,289.9,1,0
SDDDC2-032G-G46,Sandisk Jan2024 Selling Price,9.9,1,0
SDDDC2-064G-G46,Sandisk Jan2024 Selling Price,11.4,1,0
SDDDC2-128G-G46,Sandisk Jan2024 Selling Price,17.2,1,0
SDDDC2-256G-G46,Sandisk Jan2024 Selling Price,30.4,1,0
SDDDC3-032G-G46,Sandisk Jan2024 Selling Price,9.1,1,0
SDDDC3-064G-G46,Sandisk Jan2024 Selling Price,10.7,1,0
SDDDC3-064G-G46G,Sandisk Jan2024 Selling Price,10.7,1,0
SDDDC3-064G-G46NB,Sandisk Jan2024 Selling Price,10.7,1,0
SDDDC3-064G-G46PC,Sandisk Jan2024 Selling Price,10.7,1,0
SDDDC3-128G-G46,Sandisk Jan2024 Selling Price,16.4,1,0
SDDDC3-128G-G46G,Sandisk Jan2024 Selling Price,16.4,1,0
SDDDC3-128G-G46NB,Sandisk Jan2024 Selling Price,16.4,1,0
SDDDC3-128G-G46PC,Sandisk Jan2024 Selling Price,16.4,1,0
SDDDC3-256G-G46,Sandisk Jan2024 Selling Price,29.6,1,0
SDDDC3-256G-G46G,Sandisk Jan2024 Selling Price,29.6,1,0
SDDDC3-256G-G46NB,Sandisk Jan2024 Selling Price,29.6,1,0
SDDDC3-256G-G46PC,Sandisk Jan2024 Selling Price,29.6,1,0
SDDDC3-512G-G46,Sandisk Jan2024 Selling Price,55.8,1,0
SDDDC4-032G-G46,Sandisk Jan2024 Selling Price,11.6,1,0
SDDDC4-064G-G46,Sandisk Jan2024 Selling Price,13,1,0
SDDDC4-128G-G46,Sandisk Jan2024 Selling Price,18.7,1,0
SDDDC4-256G-G46,Sandisk Jan2024 Selling Price,31.9,1,0
SDDDC4-512G-G46,Sandisk Jan2024 Selling Price,63.5,1,0
SDDDC4-1T00-G46,Sandisk Jan2024 Selling Price,126.6,1,0
SDSSDA-240G-G26,Sandisk Jan2024 Selling Price,40.6,1,0
SDSSDA-480G-G26,Sandisk Jan2024 Selling Price,51,1,0
SDSSDA-1T00-G27,Sandisk Jan2024 Selling Price,101.5,1,0
SDSSDA-2T00-G26,Sandisk Jan2024 Selling Price,227.2,1,0
SDSSDH3-500G-G26,Sandisk Jan2024 Selling Price,70.1,1,0
SDSSDH3-1T00-G25,Sandisk Jan2024 Selling Price,118.8,1,0
SDSSDH3-2T00-G25,Sandisk Jan2024 Selling Price,245.7,1,0
SDSSDH3-4T00-G25,Sandisk Jan2024 Selling Price,542.1,1,0
SDSSDE30-480G-G25,Sandisk Jan2024 Selling Price,85.8,1,0
SDSSDE30-1T00-G26,Sandisk Jan2024 Selling Price,96.8,1,0
SDSSDE30-2T00-G26,Sandisk Jan2024 Selling Price,168.3,1,0
SDSSDE61-500G-G25,Sandisk Jan2024 Selling Price,110,1,0
SDSSDE61-1T00-G25,Sandisk Jan2024 Selling Price,130.9,1,0
SDSSDE61-2T00-G25,Sandisk Jan2024 Selling Price,210.1,1,0
SDSSDE61-4T00-G25,Sandisk Jan2024 Selling Price,436.7,1,0
SDSSDE61-1T00-G25B,Sandisk Jan2024 Selling Price,130.9,1,0
SDSSDE61-2T00-G25B,Sandisk Jan2024 Selling Price,210.1,1,0
SDSSDE61-4T00-G25B,Sandisk Jan2024 Selling Price,436.7,1,0
SDSSDE61-1T00-G25M,Sandisk Jan2024 Selling Price,130.9,1,0
SDSSDE61-2T00-G25M,Sandisk Jan2024 Selling Price,210.1,1,0
SDSSDE61-4T00-G25M,Sandisk Jan2024 Selling Price,436.7,1,0
SDSSDE81-1T00-G25,Sandisk Jan2024 Selling Price,174.9,1,0
SDSSDE81-2T00-G25,Sandisk Jan2024 Selling Price,270.6,1,0
SDSSDE81-4T00-G25,Sandisk Jan2024 Selling Price,541.2,1,0
SDIX60N-064G-GN6NN,Sandisk Jan2024 Selling Price,39.8,1,0
