Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
GM-6075,Beard Trimmer,Nos,6.5,Geemy,1,Geemy GM-6075 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-6576,Beard Trimmer,Nos,6.5,Geemy,1,Geemy GM-6576 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-6042,Beard Trimmer,Nos,6.9,Geemy,1,Geemy GM-6042 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-6032,Beard Trimmer,Nos,6.9,Geemy,1,Geemy GM-6032 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-696,Beard Trimmer,Nos,6.9,Geemy,1,Geemy GM-696 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-6628USB,Beard Trimmer,Nos,7.5,Geemy,1,Geemy GM-6628USB Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-607X,Beard Trimmer,Nos,6.9,Geemy,1,Geemy GM-607X Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-6140,Beard Trimmer,Nos,7,Geemy,1,Geemy GM-6140 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-6041,Beard Trimmer,Nos,7,Geemy,1,Geemy GM-6041 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-6621,Beard Trimmer,Nos,8,Geemy,1,Geemy GM-6621 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-6590USB,Beard Trimmer,Nos,8,Geemy,1,Geemy GM-6590USB Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-6658,Beard Trimmer,Nos,8.9,Geemy,1,Geemy GM-6658 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-6591,Beard Trimmer,Nos,9.9,Geemy,1,Geemy GM-6591 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
GM-566,Beard Trimmer,Nos,9.9,Geemy,1,Geemy GM-566 Trimmer,ZeroMax Warehouse - ZX,ZEROMAX LLP
