"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","Brand","Allow Purchase","Item Name","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"Y2K-4GFLIP-BLK","Mobile Phone","Nos",93,"Y2K",1,"Y2K 4G Flip Senior Phone Black 1YW","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Y2K-4GFLIP-RED","Mobile Phone","Nos",93,"Y2K",1,"Y2K 4G Flip Senior Phone Red 1YW","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Y2K-4GFLIP-WHI","Mobile Phone","Nos",93,"Y2K",1,"Y2K 4G Flip Senior Phone White 1YW","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Y2K-4GFLIP-BLU","Mobile Phone","Nos",93,"Y2K",1,"Y2K 4G Flip Senior Phone Blue 1YW","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Y2K-3GSLITE-BLK","Mobile Phone","Nos",54,"Y2K",1,"Y2K 3G Senior Lite Phone Black 1YW","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Y2K-3GPLITE-BLK","Mobile Phone","Nos",43,"Y2K",1,"Y2K 3G Phone Lite Phone Black 1YW","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Y2K-USB2-BLK","Wall Charger/Adapter","Nos",6,"Y2K",1,"Y2K DUAL USB CHARGER BLACK 1YW","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"Y2K-USB2-WHI","Wall Charger/Adapter","Nos",6,"Y2K",1,"Y2K DUAL USB CHARGER WHITE 1YW","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"OP-CB-TYPEC","USB Cables - Type C","Nos",6,"OnePlus",1,"Oneplus 3 Type C round cable","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"OP-OTG","Adapter Jack/OTG/Connector","Nos",8,"OnePlus",1,"Oneplus TYPE C OTG","ZeroMax Warehouse - ZX","ZEROMAX LLP"



