Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
ZFAN-001,Fan,Nos,3.5,No Brand,1,Fan 001 Portable Fan USB Recharge 500mAH 2 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-002,Fan,Nos,3,No Brand,1,Fan 002 Portable Fan USB Recharge 300mAH 1 speed,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-003,Fan,Nos,2.8,No Brand,1,Fan 003 Portable Fan USB Recharge 250mAH 1 speed,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-004,Fan,Nos,2.5,No Brand,1,Fan 004 Portable Fan USB Recharge 250mAH 1 speed,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-005,Fan,Nos,3.5,No Brand,1,Fan 005 Portable Fan USB Recharge 500mAH 1 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-006,Fan,Nos,3,No Brand,1,Fan 006 Portable Fan USB Recharge 250mAH 1 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-007,Fan,Nos,3.5,No Brand,1,Fan 007 Portable Fan USB Recharge 400mAH 3 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-008,Fan,Nos,3,No Brand,1,Fan 008 Portable Fan USB Recharge 400mAH 3 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-009,Fan,Nos,5,No Brand,1,Fan 009 Portable Water Spray Fan USB Recharge 1200mAH 4 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-010,Fan,Nos,5.5,No Brand,1,Fan 010 Portable Fan USB Recharge 800mAH 3 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-011,Fan,Nos,10,No Brand,1,Fan 011 Octopus Fan USB Recharge 1200mAH 3 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-012,Fan,Nos,15,No Brand,1,Fan 012 Table Fan USB Recharge 5200mAH 3 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-013,Fan,Nos,23,No Brand,1,Fan 013 Table Fan USB Recharge 10000mAH 3 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-014,Fan,Nos,10,No Brand,1,Fan 014 Neck Fan USB Recharge 2400mAH 3 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZFAN-015,Fan,Nos,12,No Brand,1,Fan 015 Neck Fan USB Recharge 1600mAH 3 speeds,ZeroMax Warehouse - ZX,ZEROMAX LLP
ZXS-0001,Socks,Nos,4,ZEROMAX,1,ZEROMAX SOCKS ZXS-0001,Stores - ZIX,ZEROMAX IMPEX
ZXS-0002,Socks,Nos,4,ZEROMAX,1,ZEROMAX SOCKS ZXS-0002,Stores - ZIX,ZEROMAX IMPEX
ZXS-0003,Socks,Nos,4,ZEROMAX,1,ZEROMAX SOCKS ZXS-0003,Stores - ZIX,ZEROMAX IMPEX
ZXS-0004,Socks,Nos,4,ZEROMAX,1,ZEROMAX SOCKS ZXS-0004,Stores - ZIX,ZEROMAX IMPEX
ZXS-0005,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0005,Stores - ZIX,ZEROMAX IMPEX
ZXS-0006,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0006,Stores - ZIX,ZEROMAX IMPEX
ZXS-0007,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0007,Stores - ZIX,ZEROMAX IMPEX
ZXS-0008,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0008,Stores - ZIX,ZEROMAX IMPEX
ZXS-0009,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0009,Stores - ZIX,ZEROMAX IMPEX
ZXS-0010,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0010,Stores - ZIX,ZEROMAX IMPEX
ZXS-0011,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0011,Stores - ZIX,ZEROMAX IMPEX
ZXS-0012,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0012,Stores - ZIX,ZEROMAX IMPEX
ZXS-0013,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0013,Stores - ZIX,ZEROMAX IMPEX
ZXS-0014,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0014,Stores - ZIX,ZEROMAX IMPEX
ZXS-0015,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0015,Stores - ZIX,ZEROMAX IMPEX
ZXS-0016,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0016,Stores - ZIX,ZEROMAX IMPEX
ZXS-0017,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0017,Stores - ZIX,ZEROMAX IMPEX
ZXS-0018,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0018,Stores - ZIX,ZEROMAX IMPEX
ZXS-0019,Socks,Nos,4.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0019,Stores - ZIX,ZEROMAX IMPEX
ZXS-0020,Socks,Nos,5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0020,Stores - ZIX,ZEROMAX IMPEX
ZXS-0021,Socks,Nos,5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0021,Stores - ZIX,ZEROMAX IMPEX
ZXS-0022,Socks,Nos,5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0022,Stores - ZIX,ZEROMAX IMPEX
ZXS-0023,Socks,Nos,5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0023,Stores - ZIX,ZEROMAX IMPEX
ZXS-0024,Socks,Nos,5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0024,Stores - ZIX,ZEROMAX IMPEX
ZXS-0025,Socks,Nos,5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0025,Stores - ZIX,ZEROMAX IMPEX
ZXS-0026,Socks,Nos,5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0026,Stores - ZIX,ZEROMAX IMPEX
ZXS-0027,Socks,Nos,5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0027,Stores - ZIX,ZEROMAX IMPEX
ZXS-0028,Socks,Nos,5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0028,Stores - ZIX,ZEROMAX IMPEX
ZXS-0029,Socks,Nos,5.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0029,Stores - ZIX,ZEROMAX IMPEX
ZXS-0030,Socks,Nos,5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0030,Stores - ZIX,ZEROMAX IMPEX
ZXS-0031,Socks,Nos,5.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0031,Stores - ZIX,ZEROMAX IMPEX
ZXS-0032,Socks,Nos,5.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0032,Stores - ZIX,ZEROMAX IMPEX
ZXS-0033,Socks,Nos,5.5,ZEROMAX,1,ZEROMAX SOCKS ZXS-0033,Stores - ZIX,ZEROMAX IMPEX
