Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
PZX-S03-V8-WHI,Charging Cable,Nos,1.5,PZX,1,PZX S-03 Micro USB Charging Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-S05-I5-WHI,Charging Cable,Nos,1.5,PZX,1,PZX S-05 Lightning USB Charging Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-S06-TC-WHI,Charging Cable,Nos,1.5,PZX,1,PZX S-06 Type C USB Charging Cable,ZeroMax Warehouse - ZX,ZEROMAX LLP
KL-C876,Wall Charger/Adapter,Nos,4.5,Kingleen,1,Kingleen C876 UK 2xUSB 2.1A Power Adapter,ZeroMax Warehouse - ZX,ZEROMAX LLP
KL-E200,Wall Charger/Adapter,Nos,6,Kingleen,1,Kingleen E200 UK QC5.0 25W/5A Digital Display Adapter,ZeroMax Warehouse - ZX,ZEROMAX LLP
KL-201,Wall Charger/Adapter,Nos,8.5,Kingleen,1,Kingleen E201 UK PD20W USB-C+USB-A Power Adapter,ZeroMax Warehouse - ZX,ZEROMAX LLP
NB-SW-T900PROMAX,Smart Watch,Nos,13.5,No Brand,1,Smart Watch T900 PRO MAX 2.0,ZeroMax Warehouse - ZX,ZEROMAX LLP
NB-SW-S8,Smart Watch,Nos,14.5,No Brand,1,Smart Watch S8,ZeroMax Warehouse - ZX,ZEROMAX LLP
NB-SW-I8ULTRA,Smart Watch,Nos,18.5,No Brand,1,Smart Watch i8 ultra,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-NDR-P44,PartyBox,Nos,17,PZX,1,PZX NDR-P44 8-inch Partybox,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-NDR-P55,PartyBox,Nos,17,PZX,1,PZX NDR-P55 8-inch Partybox,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-NDR-P66,PartyBox,Nos,17,PZX,1,PZX NDR-P66 8-inch Partybox,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-NDR-6008,PartyBox,Nos,20,PZX,1,PZX NDR-6008 8-inch Partybox,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-NDR-8908,PartyBox,Nos,30,PZX,1,PZX NDR-8908 8-inch with Rod Partybox,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-NDR-W1012,PartyBox,Nos,45,PZX,1,PZX NDR-W1012 12-inch with Rod Partybox,ZeroMax Warehouse - ZX,ZEROMAX LLP
PZX-NDR-A15,PartyBox,Nos,65,PZX,1,PZX NDR-A15 15-inch with Road Partybox,ZeroMax Warehouse - ZX,ZEROMAX LLP
MK-T62B-TWS,TWS,Nos,10,Mark,1,Mark T62B TWS,ZeroMax Warehouse - ZX,ZEROMAX LLP
MK-R60-TWS,TWS,Nos,10,Mark,1,Mark R60 TWS,ZeroMax Warehouse - ZX,ZEROMAX LLP
MK-AIR7-TWS,TWS,Nos,10,Mark,1,Mark AIR 7 TWS,ZeroMax Warehouse - ZX,ZEROMAX LLP
MK-X4D-TWS,TWS,Nos,10,Mark,1,Mark X4D TWS,ZeroMax Warehouse - ZX,ZEROMAX LLP
MK-LY80B-TWS,TWS,Nos,10,Mark,1,Mark LY80B TWS,ZeroMax Warehouse - ZX,ZEROMAX LLP
