"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","Brand","Allow Purchase","Item Name","Default Warehouse (Item Defaults)","Company (Item Defaults)"
"ZX-DS-85in-mono","No Packing/Others","Nos",3.50,"No Brand",1,"Digital Slate 8.5inch Mono","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-DS-10in-mono","No Packing/Others","Nos",4.50,"No Brand",1,"Digital Slate 10inch Mono","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-DS-12in-mono","No Packing/Others","Nos",5.50,"No Brand",1,"Digital Slate 12inch Mono","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-DS-85in-color","No Packing/Others","Nos",3.50,"No Brand",1,"Digital Slate 8.5inch Colour","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-DS-10in-color","No Packing/Others","Nos",4.50,"No Brand",1,"Digital Slate 10inch Colour","ZeroMax Warehouse - ZX","ZEROMAX LLP"
"ZX-DS-12in-color","No Packing/Others","Nos",5.50,"No Brand",1,"Digital Slate 12inch Colour","ZeroMax Warehouse - ZX","ZEROMAX LLP"




