Item Code,Item Group,Default Unit of Measure,Standard Selling Rate,Brand,Allow Purchase,Item Name,Default Warehouse (Item Defaults),Company (Item Defaults)
AW-H27-BLK,Smart Watch,Nos,36.5,Awei,1,AWEI H27 Smart Watch Black,ZeroMax Warehouse - ZX,ZEROMAX LLP
AW-H27-SIL,Smart Watch,Nos,36.5,Awei,1,AWEI H27 Smart Watch Silver,ZeroMax Warehouse - ZX,ZEROMAX LLP
AW-H28-BLK,Smart Watch,Nos,30,Awei,1,AWEI H28 Smart Watch Black,ZeroMax Warehouse - ZX,ZEROMAX LLP
AW-H28-SIL,Smart Watch,Nos,30,Awei,1,AWEI H28 Smart Watch Silver,ZeroMax Warehouse - ZX,ZEROMAX LLP
AW-H28-GLD,Smart Watch,Nos,30,Awei,1,AWEI H28 Smart Watch Gold,ZeroMax Warehouse - ZX,ZEROMAX LLP
AW-H16-SIL,Smart Watch,Nos,26,Awei,1,AWEI H26 Smart Watch Silver,ZeroMax Warehouse - ZX,ZEROMAX LLP
AW-H16-BLU,Smart Watch,Nos,26,Awei,1,AWEI H26 Smart Watch Blue,ZeroMax Warehouse - ZX,ZEROMAX LLP
AW-H16-ORA,Smart Watch,Nos,26,Awei,1,AWEI H26 Smart Watch Orange,ZeroMax Warehouse - ZX,ZEROMAX LLP
MARSHALL-MIV-BLK,Wireless Headset,Nos,128,Marshall,1,MARSHALL MAJOR IV-BLUETOOTH BLACK,ZeroMax Warehouse - ZX,ZEROMAX LLP
MARSHALL-MIV-BRN,Wireless Headset,Nos,128,Marshall,1,MARSHALL MAJOR IV-BLUETOOTH BROWN,ZeroMax Warehouse - ZX,ZEROMAX LLP
